score,token
0.0697079,duty
0.0602712,police
0.0486258,administration
0.0465232,responsibility
0.0423851,dod
0.0408944,bureau
0.0365043,sensitive
0.0325355,assign
0.0319609,feb
0.0315556,function
0.0290958,guidance
0.0286525,full
0.0238077,coordination
0.0218231,focus
0.0214639,evaluation
0.0212414,ensure
0.0202778,john
0.0176584,responsible
0.0166297,directive
0.0163623,cabinet
0.0156339,implement
0.0154917,implementation
0.013016,perform
0.0128048,liaison
0.0125887,overseas
0.0106034,legislative
0.0103597,crime
0.00978705,assignment
0.00903219,organizational
0.00884214,volunteer
0.00877605,mechanism
0.00789765,recruit
0.00770308,possession
0.00745729,logistics
0.00730412,execute
0.00722484,residual
0.00707686,normal
0.00687645,chair
0.00611916,identification
0.00498496,mag
0.00489458,teleprinter
0.00455156,formulation
0.00450226,utilization
0.0044915,pertain
0.00433494,interdepartmental
0.00430566,departmental
0.00429315,user
0.00397517,utilize
0.00396723,accomplishment
0.00370275,responsive
0.00369023,query
0.00354468,pertinent
0.00332106,deduction
0.00331168,purely
0.00306621,disseminate
0.00294874,applicant
0.00233593,gsa
0.00232328,hereby
0.00217019,partisan
0.00199127,refinement
0.0018903,recruitment
0.0018575,sergeant
0.00183569,centralize
0.00176227,functional
0.00158995,conformity
0.00156218,contractual
0.00146586,reimburse
0.00140405,traveler
0.00127728,citation
0.00124751,glossary
0.00107599,jurisdictional
0.0010132,fsb
0.0010056,minesweeper
0.000959921,adjunct
0.00095771,focal
0.000853212,nro
0.000800062,indefinite
0.000784216,recreational
0.000775441,rug
0.000722814,cumbersome
0.000719611,worthwhile
0.000659132,nucleus
0.000638666,prune
0.000624578,militarize
0.000588618,unworkable
0.000583284,utilisation
0.000567979,commissary
0.000516347,delimit
0.000515604,titular
0.000485774,uniformity
0.000484654,metre
0.000449314,impartially
0.000437901,sociological
0.000401089,forte
0.000391137,knowledgeable
0.000333205,lookout
0.000332953,teamwork
0.000314403,counterespionage
0.000298029,brady
0.000295662,incredibly
