score,token
0.0704329,export
0.0606172,import
0.0426979,plant
0.0412216,amount
0.037721,industry
0.0376739,growth
0.035525,industrial
0.0354099,purchase
0.0348252,dollar
0.0305321,food
0.0262536,annual
0.0214114,resource
0.0186994,currency
0.0170756,embargo
0.0150028,commodity
0.0143437,volume
0.0130433,allocation
0.011754,quantity
0.0105942,northeast
0.0103873,surplus
0.00989651,tt
0.00987496,czechoslovakia
0.00922408,lend
0.00917149,exceed
0.00907345,deposit
0.0084238,raw
0.00814672,table
0.00806861,selective
0.00775007,borrow
0.00740092,equivalent
0.0073129,meter
0.00726995,anticipate
0.0069346,dry
0.00671052,cotton
0.00659371,gross
0.00650855,sterling
0.00619812,half
0.00599379,textile
0.00576829,producer
0.00552628,tool
0.00510034,annually
0.00509199,transaction
0.00500358,efficiency
0.0047431,invest
0.00444953,aggregate
0.00426747,modest
0.00395572,fat
0.00379244,finland
0.00374962,irrigation
0.00320803,hot
0.00318534,repayment
0.00316075,fertilizer
0.00314341,conservation
0.00310514,lag
0.00300314,aluminum
0.00272282,importer
0.00268669,ida
0.00263903,phosphate
0.00263267,compute
0.00252305,caput
0.00252263,wood
0.00246344,tractor
0.0024563,compensate
0.00225362,slowdown
0.00222046,inflow
0.00217804,trader
0.00217597,doubtful
0.00217559,statistical
0.00212153,alleviate
0.00210861,devaluation
0.00204261,freight
0.00203893,shortfall
0.00203839,exclusion
0.0019566,bauxite
0.00193158,sufficiency
0.00191495,milk
0.00189488,synthetic
0.00188423,prewar
0.00187247,remedy
0.00187157,cement
0.0018298,waste
0.00180703,tar
0.00178858,seed
0.00174724,plastic
0.00173787,maximize
0.00169675,drastic
0.00159891,lumber
0.00157739,exporter
0.00148369,importation
0.00147791,nutrition
0.0014149,grid
0.00134613,surcharge
0.00134376,wool
0.00130446,liberalize
0.00129196,fry
0.00128858,metallurgical
0.00127183,migration
0.00123112,cutback
0.00122628,receptivity
0.00122537,acid
