collection,date,id,title,topic_score
frus,1941-06-26 00:00:00,frus1941v06d26,"Memorandum by the Acting Chief of the Division of
                                the American Republics (Bonsal) to the Under
                                Secretary of State (Welles)",0.145986
frus,1957-07-18 20:00:00,frus1955-57v07d364,364. Telegram From the Ambassador in Brazil (Briggs) to the Department of State,0.145975
frus,1940-06-07 00:00:00,frus1940v01d851,"
The Ambassador in Argentina (
Armour
) to the Secretary of
                                State

",0.145947
frus,1947-03-26 00:00:00,frus1947v08d200,"
Memorandum by Mr. John L. Ohmans of the Division of
                                River Plate Affairs

",0.143793
frus,1951-09-25 23:00:00,frus1952-54v10d88,No. 88The Charge in Iran (Richards) to the Department of State,0.143359
frus,1962-07-19 16:03:00,frus1961-63v12d190,190. Memorandum of Conversation,0.142863
frus,1942-01-18 18:00:00,frus1942v05d590,"The Under Secretary of State (Welles), Temporarily at Rio de Janeiro, to the Secretary of State",0.142861
frus,1942-03-27 00:00:00,frus1942v05d416,"The Ambassador in Argentina (Armour) to the Secretary of
                                State",0.142828
frus,1948-12-09 00:00:00,frus1948v09d214,"
Memorandum of Conversation, by the Director of the
                                Office of American Republic Affairs (Daniels)",0.14217
frus,,frus1948v02d413,"
Report of the Working Party on Provisional Adjustments
                                to the Western Frontier of Germany

",0.142162
frus,1979-03-20 01:58:00,frus1977-80v16d112,"112. Telegram From Secretary of State Vance to the Department of State
",0.141635
frus,1949-03-08 00:00:00,frus1949v02d304,"
The Charge in Argentina (
Ray
) to the Secretary of
                                        State

",0.141509
frus,1977-04-08 00:00:00,frus1977-80v16d50,"50. Memorandum From Jay Katzen
                            of the Vice Presidents Staff to Vice President Mondale

",0.141243
frus,1945-04-24 15:00:00,frus1945v09d551,"
The Ambassador in Brazil (
Berle
) to
                                the Secretary of State

",0.140941
frus,1949-05-04 00:00:00,frus1949v02d349,"
The Ambassador in Brazil (
Johnson
) to the Secretary of
                                        State

",0.140846
frus,1945-08-14 21:00:00,frus1945v09d338,"
The Ambassador in Argentina (
Braden
) to the Secretary of
                                State

",0.140823
frus,1979-03-21 11:14:00,frus1977-80v16d116,"116. Telegram From Secretary of State Vance to the Department of State
",0.140712
frus,1950-11-17 00:00:00,frus1950v05d810,"
Memorandum of Conversation, by the Secretary of
                                    State
",0.140469
frus,1974-05-02 23:37:00,frus1969-76ve11p2d101,"101. Telegram 90883 From the Department of State to the Embassy in
                                Brazil
",0.140402
frus,1949-05-23 00:00:00,frus1949v02d319,"
Memorandum by Mr. Henry Dearborn of the Division
                                    of River Plate Affairs

",0.140092
frus,1982-04-06 00:18:00,frus1981-88v13d63,"63. Telegram From the Central Intelligence Agency to Multiple
                                Recipients",0.139786
frus,1955-09-29 00:00:00,frus1955-57v07d546,"546. Letter From the Ambassador in Uruguay (Mcintosh) to the Assistant
                            Secretary of State for Inter-American Affairs (Holland)",0.139192
