collection,date,id,title,topic_score
kissinger,1975-10-09 12:03:00,0000BD18,Telecon with Winson Lord and Kissinger AT 12:03 P.M.,0.0797545
kissinger,1976-03-31 17:55:00,0000BF58,TELECON WITH AMBASSADOR SCRANTON/SECRETARY KISSINGER AT 5:55,0.079365
kissinger,1976-01-06 20:56:00,0000D6FF,TELECON WITH MR. EAGLEBURGER AT 8:56 P.M.,0.0737703
kissinger,1975-06-19 17:35:00,0000D80A,TELECON WITH SENATOR KENNEDY AT 5:35 P.M.,0.0720002
kissinger,1976-07-28 09:44:00,0000BE9C,Telecon with Kissinger and William Scranton AT 9:44 A.M.,0.0696203
kissinger,1975-08-06 11:56:00,0000D9C7,TELECON WITH AMBASSADOR MOYNIHAN AT 11:56 A.M.,0.067865
kissinger,1976-03-05 14:30:00,0000BDBC,Telecon with Ted Koppel and Kissinger AT 2:30 P.M.,0.0658678
kissinger,1974-09-26 22:15:00,0000BA8F,TELECON WITH HABIB AT 10:15 P.M.,0.0636944
kissinger,1976-07-27 09:15:00,0000BE99,Telecon with Scranton and Kissinger AT 9:15 A.M.,0.0628864
kissinger,1976-08-26 00:00:00,0000D939,TELECON WITH KISSINGER/WILLIAM BUCKLEY AT 7:15PM,0.0609139
kissinger,1975-04-22 07:59:00,0000D898,TELECON WITH SECRETARY CLEMENTS AT 7:59 A.M.,0.0600365
kissinger,1975-05-12 11:20:00,0000BFD4,Telecon with Herb Schlosser and Kissinger AT 11:20 A.M.,0.0575487
kissinger,1974-03-15 19:58:00,0000C4B0,Telecon with Javits and Kissinger at 7:58 P.M.,0.0569622
kissinger,1975-02-06 00:00:00,0000BB89,TELECON WITH McCLOSKEY,0.0564518
kissinger,1974-09-06 00:00:00,0000D6A1,TELECON WITH MR. ENDERS AT 12:22 P .M.,0.0564515
kissinger,1975-12-10 10:15:00,0000D9B0,TELECON WITH AMBASSADOR DOBRYNIN AT 10:15 A.M.,0.0558371
kissinger,1974-09-07 12:22:00,0000CF4F,TELECON WITH MR. ENDERS/THE SECRETARY AT 12:22 P.M.,0.0551179
kissinger,1974-01-28 19:10:00,0000C66F,Telecon with President and Kissinger at 7:10 P.M.,0.0538924
kissinger,1974-03-22 21:55:00,0000C57A,Telecon with Scowcroft and Kissinger at 9:55 P.M.,0.0530972
kissinger,1974-07-25 00:00:00,0000C1D8,Telecon with Vorontsov and Kissinger,0.0504187
kissinger,1975-04-21 20:06:00,0000BC14,TELECON WITH SONNEFELDT AT 8:06 P.M.,0.0500001
kissinger,1974-07-16 12:00:00,0000C1D4,Telecon with Dobrynin and Kissinger at 12:00 P.M.,0.0499992
kissinger,1974-12-02 10:19:00,0000CF83,TELECON WITH SECRETARY KISSINGER/AMBASSADOR MCCLOSKEY AT 10:,0.0487801
kissinger,1976-08-25 14:45:00,0000CF75,TELECON WITH SEC KISSINGER/UNDER SEC HABIB AT 2:45 P.M.,0.0472951
kissinger,1974-02-02 11:45:00,0000C697,Telecon with Sisco and Kissinger at 11:45 A.M.,0.0465117
kissinger,1974-01-07 15:05:00,0000C432,TELECON WITH HAIG/SEC KISSINGER AT 3:05 P.M.,0.0454546
kissinger,1973-10-23 12:12:00,0000C822,TELECON WITH SISCO/HAK AT 12:12 P.M.,0.0444442
kissinger,1976-06-15 11:38:00,0000C030,TELECON WITH AMBASSADOR VON STADEN/SECRETARY KISSINGER AT 11,0.044199
kissinger,1973-10-16 18:35:00,0000C7E6,TELECON WITH SEN CURTIS - SECRETARY KISSINGER AT 6:35 P.M.,0.0438583
kissinger,1974-07-26 16:38:00,0000CA3B,TELECON WITH LLOYD SHEARER/KISSINGER/STROBE TALBOTT AT 4:38 ,0.043795
kissinger,1975-09-27 12:40:00,0000D9AC,TELECON WITH AMBASSADOR DOBRYNIN AT 12:40 P.M.,0.0422535
kissinger,1973-10-17 09:42:00,0000C7F0,TELECON WITH SECRETARY KISSINGER/AMBASSADOR DOBRYNIN AT 9:42,0.0408159
kissinger,1975-05-08 00:00:00,0000BF9A,Telecon with Joe Sisco and HAK AT 6:01,0.0406503
kissinger,1976-03-24 09:15:00,0000D6D8,TELECON WITH AMBASSADOR RAMSBOTHAM AT 9:15 A.M.,0.0405407
kissinger,1974-04-23 00:00:00,0000C1C4,Telecon with Dobrynin and Kissinger,0.0403225
kissinger,1976-01-31 14:43:00,0000BD8B,TELECON WITH ED KLINE AND KISSINGER AT 2:43 P.M.,0.0387582
kissinger,1976-01-19 12:30:00,0000D70A,TELECON WITH PRESIDENTNIXON AT 12:30 P.M.,0.0384619
kissinger,1975-12-24 10:45:00,0000D6D6,TELECON WITH FOREIGN SECRETARY CALLAGHAN AT 10:45 A.M.,0.0379751
kissinger,1974-01-21 09:50:00,0000C981,TELECON WITH HUGH SIDEY AT 9:50 A.M.,0.0366668
kissinger,1976-04-14 09:38:00,0000DA50,TELECON WITH SECRETARY SIMON AT 9:38 A.M.,0.0364586
kissinger,1974-03-20 00:00:00,0000C4D5,Telecon with Haig and Kissinger at 6:10PM,0.0362312
kissinger,1974-06-21 19:08:00,0000C9C7,TELECON WITH SENATOR KENNEDY/SECRETARY KISSINGER AT 7:08 P.M,0.0357164
kissinger,1974-11-16 16:30:00,0000BAD1,TELECON WITH LANDES AT 4:30 P.M.,0.0347158
kissinger,1975-08-20 18:11:00,0000BDD4,TELECON WITH MR. HAL SAUNDERS/THE SECRETARY AT 6:11 P.M.,0.0344827
kissinger,1973-10-17 14:45:00,0000C7F3,TELECON WITH DOUGLAS DILLON/SEC KISSINGER AT 2:45 P.M.,0.0333329
kissinger,1974-08-02 00:00:00,0000CA5E,TELECON WITH YURI VORONTSOV,0.0327869
kissinger,1976-10-04 16:51:00,0000BF1D,Telecon with the Secretary and Habib AT 4:51 P.M.,0.0327869
kissinger,1974-07-16 09:30:00,0000C9E7,TELECON WITH ARTHUR BURNS/SEC KISSINGER AT 9:30 A.M.,0.0325204
kissinger,1974-04-23 00:00:00,0000C548,Telecon with Dobrynin and Kissinger,0.0325204
kissinger,1974-06-08 00:00:00,0000C1CA,Telecon with Dobrynin and Kissinger,0.0324656
kissinger,1975-11-21 17:03:00,0000BCF7,Telecon with Richard Valeriani and Kissinger AT 5:03 P.M.,0.032
kissinger,1976-10-04 12:19:00,0000BF1C,Telecon with Kissinger and Art Hartman AT 12:19 P.M.,0.0267857
kissinger,1975-04-29 08:42:00,0000BF72,Telecon with Phil Habib and Kissinger AT 8:42 A.M.,0.0267856
kissinger,1973-11-03 11:35:00,0000C916,TELECON WITH AMB DOBRYNIN - SECRETARY KISSINGER AT 11:35 A.M,0.0263158
kissinger,1975-02-24 17:05:00,0000BBA6,TELECON WITH SCHLESSINGER AT 5:05 P.M.,0.0263158
kissinger,1974-06-08 09:10:00,0000C9B6,TELECON WITH SCOWCROFT/SECRETARY KISSINGER AT 9:10 A.M.,0.0256415
kissinger,1975-02-22 15:30:00,0000D83D,TELECON WITH MR. HYLAND AT 3:30 P.M.,0.025424
kissinger,1976-12-20 18:25:00,0000C146,TELECON WITH AMB. DOBRYNIN/THE SECRETARY AT 6:25 P.M.,0.0254238
kissinger,1975-10-28 19:45:00,0000D8ED,TELECON WITH MR. HYLAND AT 7:45 P.M.,0.025
kissinger,1976-08-12 00:00:00,0000D90F,TELECON WITH KISSINGER/SENATOR JAVITS AT 11:35AM,0.024794
kissinger,1975-10-16 00:00:00,0000D8AB,TELECON WITH GENERAL SCOWCROFT AT 5:30 p.m.,0.0232562
