collection,date,id,title,topic_score
kissinger,1976-04-06 10:14:00,0000BF74,TELECON WITH SEC MATTHEWS/SEC KISSINGER AT 10:14 A.M.,0.10067
kissinger,1974-04-22 00:00:00,0000C542,Telecon with Waldheim and Kissinger,0.0782126
kissinger,1975-11-28 19:00:00,0000BD0C,Telecon with Moynihan and Kissinger AT 7:00 P.M.,0.0763888
kissinger,1976-03-09 16:05:00,0000BDC6,Telecon with Kissinger and Vorontsov AT 4:05 P.M.,0.0743795
kissinger,1974-04-24 17:55:00,0000C552,Telecon with Sisco and Kissinger at 5:55 P.M.,0.0732989
kissinger,1976-11-04 18:46:00,0000D980,TELECON WITH DEAN RUSK AT 6:46 P.M.,0.0687498
kissinger,1975-06-09 18:17:00,0000C036,Telecon with Buffman and the Secretary AT 6:17 P.M.,0.0620156
kissinger,1975-10-09 11:47:00,0000BC75,Telecon with McCloskey AT 11:47 A.M.,0.0603446
kissinger,1973-10-03 12:45:00,0000C1FD,TELECON WITH SENATOR BYRD - SECRETARY KISSINGER AT 12:45 P.M,0.0541878
kissinger,1976-08-24 13:03:00,0000BF3B,Telecon with Kissinger and Yoe AT 1:03 P.M.,0.0538464
kissinger,1974-09-24 17:05:00,0000D674,TELECON WITH MIKE MANSFIELD AT 5:05 P.M.,0.0529801
kissinger,1975-01-07 11:40:00,0000BB05,TELECON WITH ESENBEL AT 11:40 A.M.,0.0510206
kissinger,1973-10-10 08:13:00,0000C17E,Telecon with Dobrynin and HAK at 8:13 A.M.,0.0508477
kissinger,1973-10-06 11:25:00,0000C21B,TELECON WITH DOBRYNIN/SEC KISSINGER AT 11:25 A.M.,0.0503598
kissinger,1976-05-29 14:05:00,0000C01C,TELECON WITH MR. EAGLEBURGER/SECRETARY KISSINGER AT 2:05 P.M,0.0491797
kissinger,1975-06-25 09:49:00,0000C073,Telecon with Sisco and Kissinger AT 9:49 A.M.,0.0470587
kissinger,1974-07-23 15:30:00,0000CA30,TELECON WITH PRIME MINISTER ECEVIT/SECRETARY KISSINGER AT 3:,0.046154
kissinger,1973-10-06 15:55:00,0000C222,TELECON WITH DOBRYNIN/SEC KISSINGER AT 3:55 P.M.,0.0441178
kissinger,1974-09-16 10:00:00,0000D6A8,TELECON WITH SENATOR JAVITS AT 10:00 A.M.,0.0426831
kissinger,1973-11-26 17:44:00,0000C5A6,Telecon with Caryle Maw and Kissinger at 5:44 P.M.,0.0413223
kissinger,1973-10-27 12:55:00,0000C936,TELECON WITH EL ZAYYAT/KISSINGER AT 12:55 P.M.,0.0409836
kissinger,1974-04-18 00:00:00,0000C52F,Telecon with Fahmi and Kissinger,0.0406504
kissinger,1975-12-09 18:56:00,0000D6E7,TELECON WITH MR. BARRY SCHWEID AT 6:56 P.M.,0.0403227
kissinger,1974-10-16 00:00:00,0000D68C,TELECON WITH MAHON/CEDERBERG/CHAIRMAN ALBERT (?) AT 11:10,0.0399997
kissinger,1974-11-15 17:53:00,0000BACE,TELECON WITH SYG WALDHEIM AT 5:53 P.M.,0.0387597
kissinger,1973-11-20 17:11:00,0000C1AD,Telecon with Dobrynin and Kissinger at 5:11 P.M.,0.0379748
kissinger,1973-10-25 15:00:00,0000C87B,TELECON WITH RESTON/SEC KISSINGER AT 3:00 P.M.,0.0377363
kissinger,1976-10-28 14:46:00,0000C0ED,TELECON WITH SCOTTY RESTON AT 2:46 P.M.,0.0370375
kissinger,1973-12-07 00:00:00,0000C5CB,Telecon with Waldheim and Kissinger at 4:19,0.0368099
kissinger,1974-04-24 11:30:00,0000C54E,Telecon with Cranston and Kissinger at 11:30 A.M.,0.0366306
kissinger,1974-07-20 19:32:00,0000CA89,TELECON WITH JIM CALLAGHAN/HAK AT 7:32 P.M.,0.0365855
kissinger,1976-10-21 16:45:00,0000D9DB,TELECON WITH CROSLAND AT 4:45 P.M.,0.0364953
kissinger,1975-01-23 11:42:00,0000BB79,TELECON WITH TOM ENDERS AT 11:42 A.M.,0.0362319
kissinger,1973-11-26 10:34:00,0000C5A2,Telecon with Carl Maw and HAK at 10:34 A.M.,0.0359285
kissinger,1974-04-14 14:10:00,0000C517,Telecon with Sisco and Kissinger at 2:10 P.M.,0.0357147
kissinger,1974-08-19 00:00:00,0000BA63,TELECON WITH ECEVIT AT 12:10,0.0355032
kissinger,1975-03-03 00:00:00,0000D849,TELECON WITH CONGRESSMAN BRADEMAS AT 10:50,0.0348841
kissinger,1974-08-14 18:17:00,0000D6CD,TELECON WITH CALLAGHAN AT 6:17 P.M.,0.0340136
kissinger,1976-12-20 18:25:00,0000C146,TELECON WITH AMB. DOBRYNIN/THE SECRETARY AT 6:25 P.M.,0.0338984
kissinger,1976-07-28 08:05:00,0000BE9B,Telecon with Habib and Kissinger AT 8:05 A.M.,0.0336135
kissinger,1975-07-24 19:21:00,0000BD6D,TELECON WITH CONGRESSMAN RHODES/THE SECRETARY AT 7:21 P.M.,0.0303031
kissinger,1974-03-21 18:36:00,0000C4E1,Telecon with Sisco and Kissinger at 6:36 P.M.,0.0300754
kissinger,1974-09-26 12:34:00,0000D678,TELECON WITH ARCHBISHOP IAKOVOS AT 12:34 P.M.,0.0298508
kissinger,1975-04-23 19:08:00,0000D877,TELECON WITH SENATOR JAVITS AT 7:08 P.M.,0.028369
