collection,date,id,title,topic_score
kissinger,1976-07-01 00:00:00,0000D92F,TELECON WITH KISSINGER/GENERAL SCOWCROFT AT 6:07PM,0.0931919
kissinger,1975-09-04 14:25:00,0000BDDC,TELECON WITH SECRETARY SIMON/SECRETARY KISSINGER AT 2:25 P.M,0.0813006
kissinger,1974-09-20 08:05:00,0000D6AA,TELECON WITH MR. COLBY AT 8:05 A.M.,0.0781252
kissinger,1975-04-12 17:25:00,0000BBFC,TELECON WITH JULIUS KATZ AT 5:25 P.M.,0.0779221
kissinger,1973-10-19 11:38:00,0000C18E,Telecon with Kissinger and Dobrynin at 11:38 A.M.,0.0671641
kissinger,1975-04-09 15:50:00,0000D88A,TELECON WITH LOU WASSERMAN AT 3:50 P.M.,0.0624996
kissinger,1974-02-18 11:30:00,0000C44D,Telecon with Stennis and Kissinger at 11:30 A.M.,0.0551166
kissinger,1973-10-11 20:10:00,0000C2AB,TELECON WITH DINITZ/KISSINGER AT 8:10 P.M.,0.0548767
kissinger,1975-04-17 11:45:00,0000BC09,TELECON WITH CHANCELLOR KREISKY AT 11:45 A.M.,0.0547267
kissinger,1976-06-05 17:22:00,0000C02D,TELECON WITH AMB. SCHAUFELE/SEC KISSINGER AT 5:22 P.M.,0.0534352
kissinger,1973-09-14 16:35:00,0000D6A5,TELECON WITH AMBASSADOR DBRYNIN AT 4:35 P.M.,0.0526318
kissinger,1973-10-08 13:45:00,0000C267,TELECON WITH ZAYYAT/SECRETARY KISSINGER AT 1:45 P.M.,0.0522381
kissinger,1976-03-05 19:55:00,0000D720,TELECON WITH MR. TED KOPPEL AT 7:55 P.M.,0.0507248
kissinger,1973-10-16 11:42:00,0000C7D6,TELECON WITH DOBRYNIN/SEC KISSINGER AT 11:42 A.M.,0.0483872
kissinger,1975-09-04 10:33:00,0000D969,TELECON WITH MAX FISHER AT 10:33 A.M.,0.0471695
kissinger,1973-10-18 11:22:00,0000C7F9,TELECON WITH SECRETARY RUSH/SECRETARY KISSINGER AT 11:22 A.M,0.0451128
kissinger,1974-10-18 11:40:00,0000BAB0,TELECON WITH DOBRYNIN AT 11:40 A.M.,0.0413224
kissinger,1974-04-25 11:45:00,0000C555,Telecon with Elliot Richardson and Kissinger at 11:45 A.M.,0.0406484
kissinger,1976-01-06 16:20:00,0000BD48,Telecon with Kissinger and Percy AT 4:20 P.M.,0.0396826
kissinger,1976-04-03 10:50:00,0000D763,TELECON WITH JERRY SCHECTER AT 10:50 A.M.,0.0396051
kissinger,1975-06-19 10:47:00,0000C060,Telecon with Kissinger and Winston Kissinger AT 10:47 A.M.,0.0389612
kissinger,1974-08-10 00:00:00,0000D623,TELECON WITH HUG SIDEY AT 11:47 A.M,0.0384625
kissinger,1975-06-20 11:20:00,0000D82C,TELECON WITH SCHLESINGER AT 11:20 A.M.,0.0373832
kissinger,1973-12-07 18:08:00,0000C5CA,Telecon with Dinitz and Kissinger at 6:08 P.M.,0.0370372
kissinger,1976-04-09 00:00:00,0000C0AE,TELECON WITH KAY GRAHAM/SEC. KISSINGER,0.0367648
kissinger,1976-10-21 16:45:00,0000D9DB,TELECON WITH CROSLAND AT 4:45 P.M.,0.0364954
kissinger,1976-03-04 15:05:00,0000D74F,TELECON WITH JOE DRAFT AT 3:05 P.M.,0.0363653
kissinger,1973-12-03 16:15:00,0000C5B4,Telecon with Rabasa and Kissinger at 4:15 P.M.,0.0359713
kissinger,1973-11-03 11:40:00,0000C917,TELECON WITH THE PRESIDENT - SECRETARY KISSINGER AT 11:40 A.,0.0359283
kissinger,1975-08-08 09:24:00,0000BDAF,TELECON WITH TOM ENDERS/SECRETARY KISSINGER AT 9:24 A.M.,0.0357145
kissinger,1975-09-09 14:40:00,0000BDE6,TELECON WITH SEC. EARL BUTZ/SEC.KISSINGER AT 2:40 P.M.,0.0352943
kissinger,1973-10-23 09:45:00,0000C815,TELECON WITH MINISTER VORONTSOV/KISSINGER AT 9:45 A.M.,0.0342467
kissinger,1974-07-20 12:45:00,0000CA17,TELECON WITH JOSEPH SISCO/SECRETARY KISSINGER AT 12:45 P.M.,0.034188
kissinger,1975-06-14 11:25:00,0000C0BB,Telecon with Sclesinger and Kissinger AT 11:25 A.M.,0.0336133
kissinger,1975-11-07 12:15:00,0000D8CE,TELECON WITH MR. ERIC SEVARIED AT 12:15 P.M.,0.0336126
kissinger,1974-03-06 13:07:00,0000C46B,Telecon with Scowcroft and Kissinger at 1:07 P.M.,0.0333336
kissinger,1975-07-22 14:40:00,0000BED5,TELECON WITH MR. ATHERTON/SECRETARY KISSINGER AT 2:40 P.M.,0.0333334
kissinger,1973-11-25 12:50:00,0000C59F,Telecon with Scowcroft and Kissinger at 12:50 P.M.,0.0333333
kissinger,1973-10-28 11:10:00,0000C8C4,TELECON WITH AMBASSADOR DINITZ/SECRETARY KISSINGER AT 11:10 ,0.0331132
