collection,date,id,title,topic_score
kissinger,1973-10-07 23:20:00,0000C257,TELECON WITH AMBASSADOR DENNITZ/SECRETARY KISSINGER AT 11:20,0.147287
kissinger,1973-10-12 23:45:00,0000C737,TELECON WITH SECRETARY KISSISNGER/SECRETARY SCHLESINGER AT 1,0.132076
kissinger,1974-08-05 13:05:00,0000CA6A,TELECON WITH SECRETARY SCHLESINGER/SECRETARY KISSINGER AT 1:,0.109243
kissinger,1974-04-22 00:00:00,0000C53A,Telecon with Annenberg and HAK,0.0999997
kissinger,1973-10-14 00:00:00,0000C79A,TELECON WITH SECRETARY KISSINGER/THE PRESIDENT AT 11:10,0.0930233
kissinger,1974-03-13 15:00:00,0000DA40,TELECON WITH IVAN HEAD AT 3:00 P.M.,0.0878218
kissinger,1973-10-13 00:49:00,0000C739,TELECON WITH SEC SCHLESINGER/SEC KISSINGER AT 12:49 A.M.,0.0833338
kissinger,1973-11-01 16:20:00,0000C903,TELECON WITH AMB SCALI - SECRETARY KISSINGER AT 4:20 P.M.,0.0729907
kissinger,1975-02-07 17:03:00,0000BB8D,TELECON WITH ZAHEDI AT 5:03 P.M.,0.0724636
kissinger,1973-10-12 00:00:00,0000C738,TELECON WITH MR. KISSINGER/GENERAL HAIG AT 11: 54 P.M.,0.0708663
kissinger,1976-06-30 18:40:00,0000C08F,TELECON WITH AMBASSADOR DINITZ/SECRETARY KISSINGER AT 6:40 P,0.0701752
kissinger,1973-10-30 15:05:00,0000C8E7,TELECON WITH CLEMENTS/SEC KISSINGER AT 3:05 P.M.,0.0697674
kissinger,1973-10-13 00:00:00,0000C792,TELECON WITH SECRETRY SCHLESINGER - SECRETARY KISSINGER,0.0680666
kissinger,1976-03-26 12:05:00,0000D758,TELECON WITH ATTORNEY GENERAL LEVI AT 12:05 P.M.,0.0652168
kissinger,1974-02-08 12:30:00,0000C6AF,Telecon with Zahedi and Kissinger at 12:30 P.M.,0.0602416
kissinger,1976-03-25 19:35:00,0000D756,TELECON WITH AMBASSADOR AT 7:35 P.M.,0.0583326
kissinger,1975-10-16 11:16:00,0000DA2E,TELECON WITH ALLAN McEACHEN AT 11:16 A.M.,0.0574712
kissinger,1974-06-06 00:00:00,0000C1C8,Telecon with Dobrynin and Kissinger,0.0563381
kissinger,1975-09-30 11:30:00,0000BEC3,TELECON WITH PETE PETERSON/HAK AT 11:30 A.M.,0.0559439
kissinger,1973-10-13 01:03:00,0000C73A,TELECON WITH AMB DINITZ/SEC KISSINGER AT 1:03 A.M.,0.0555554
kissinger,1975-07-09 09:52:00,0000C09C,Telecon with Kissinger and Jerry Bremer AT 9:52 A.M.,0.0538412
kissinger,1973-10-09 01:45:00,0000C279,TELECON WITH AMB DINITZ (ISRAEL)/SEC. KISSINGER (AT HOME) AT,0.0522368
kissinger,1975-01-10 19:20:00,0000D7B5,TELECON WITH ENDERS AT 7:20 P.M.,0.0518514
