score,token
0.0943405,event
0.0910783,frg
0.0850051,participation
0.0826729,berlin
0.040686,bonn
0.0293172,brandt
0.0202026,era
0.019678,minimum
0.016663,significance
0.0166597,instrument
0.0160723,boundary
0.0158582,simon
0.0148786,reunification
0.0137301,disapproval
0.012875,kilometer
0.0122029,notification
0.0115678,exploitation
0.0103237,eb
0.00925091,dignity
0.00891411,toxic
0.008873,huge
0.00886459,funeral
0.00840698,renewal
0.00816254,aside
0.00712448,label
0.00682985,offend
0.00660808,match
0.0065153,temptation
0.00643311,shop
0.00634576,array
0.00546667,detriment
0.00439866,condone
0.00434002,hint
0.00418435,enact
0.00418344,negate
0.00400512,native
0.00394136,profession
0.00388389,barely
0.00384249,revolt
0.00349618,ameliorate
0.00340383,ce
0.00300614,competitor
0.00287456,stream
0.0028238,unlawful
0.00267323,keenly
0.0026618,overdue
0.00262688,d
0.00240042,violently
0.0023829,drastic
0.00233133,heinz
0.00232261,wed
0.00219692,hamburg
0.00208639,inflexibility
0.00204384,barrage
0.00202263,confrontational
0.00193283,dignify
0.00187461,harmonization
0.00183911,cynicism
0.00173221,pillar
0.00167517,textual
0.001643,frankfurt
0.00162258,tenor
0.00155361,zonal
0.00155092,dangle
0.00154699,countenance
0.00152204,thereto
0.00148578,sm
0.00146671,deutschland
0.00143306,ellipsis
0.00141032,kohl
0.00124389,overemphasize
0.00123941,confidant
0.00120572,reunify
0.00114727,heretofore
0.00114077,scramble
0.0011231,bremen
0.00108641,philadelphia
0.00107127,predetermine
0.00104525,interrogate
0.00102335,telephonic
0.000980997,button
0.000951826,suicidal
0.000889892,flame
0.000883839,concreteness
0.000806867,autobahn
0.000774212,unseemly
0.000762317,quantum
0.000743569,vindication
0.000727515,decency
0.000714368,harrison
0.00070554,stocker
0.000701778,richards
0.000679611,hirschfeld
0.000664025,infraction
0.000649509,muse
0.000638767,belated
0.000602482,causal
0.000589834,tolerably
0.000584863,overdramatize
0.000571711,disharmony
