score,token
0.224879,agreement
0.132611,arab
0.117901,thursday
0.0520936,step
0.0520283,progress
0.0269053,stage
0.0242675,february
0.0210067,tragedy
0.0181042,rational
0.0179504,postpone
0.0178117,obligation
0.0175481,successful
0.0174356,ge
0.0169379,attribute
0.0153335,bloc
0.0140155,privately
0.0117973,substantial
0.0113846,unleash
0.0108,blood
0.00998016,namely
0.00948284,accord
0.00841725,variety
0.00814959,distinguish
0.00674136,motivate
0.00652375,harass
0.0057863,justification
0.00576645,various
0.00548314,unhelpful
0.00536018,ed
0.00532404,remotely
0.00456518,compare
0.00432496,federation
0.00416036,finally
0.0039516,od
0.0035107,winter
0.00345624,swim
0.0031411,dedicate
0.00294334,bird
0.00282947,film
0.000580852,headline
6.0221e-05,besides
3.43699e-05,hurry
2.73379e-05,slight
2.38847e-05,shut
1.90383e-05,mostly
1.78923e-05,bastard
1.6412e-05,hot
1.6053e-05,il
1.59334e-05,deeply
1.5759e-05,due
1.57244e-05,absolute
1.56818e-05,ball
1.55712e-05,originally
1.55585e-05,adamant
1.55358e-05,die
1.55164e-05,sharp
1.55115e-05,neither
1.55059e-05,prayer
1.54543e-05,fishery
1.54514e-05,reliable
1.54121e-05,goddamn
1.53975e-05,normal
1.53948e-05,mediation
1.53824e-05,mow
1.538e-05,posture
1.53666e-05,folder
1.53555e-05,ill
1.53395e-05,emphasize
1.53391e-05,renewal
1.53307e-05,participation
1.5317e-05,indication
1.53146e-05,exact
1.53094e-05,attribution
1.53088e-05,superficial
1.53059e-05,pittsburgh
1.53053e-05,owe
1.52943e-05,guard
1.52934e-05,watch
1.52917e-05,antagonistic
1.52879e-05,self
1.52876e-05,aspen
1.52872e-05,replace
1.52847e-05,unemployment
1.52844e-05,sl
1.52788e-05,debrief
1.52779e-05,uniform
1.5277e-05,namibia
1.52764e-05,amnesty
1.52694e-05,gnp
1.52683e-05,correspondence
1.52666e-05,arafat
1.52657e-05,gesture
1.52648e-05,usual
1.52648e-05,mi
1.52617e-05,parameter
1.52616e-05,milwaukee
1.52596e-05,misinterpret
1.52592e-05,marsh
1.5259e-05,betray
1.52576e-05,closely
