score,token
0.194989,agree
0.135828,month
0.077463,th
0.0717923,tonight
0.0501018,urge
0.0440149,argument
0.034154,dean
0.0256726,memorial
0.0243432,achieve
0.0212507,west
0.0208338,flat
0.0198663,en
0.0190964,door
0.0187146,route
0.0147059,abandon
0.0145197,explore
0.013391,essence
0.0131438,lecture
0.0121026,acceptance
0.0102317,coast
0.00971027,wi
0.00919119,dispatch
0.00852714,semi
0.00843811,nine
0.00697053,advise
0.0068677,immediate
0.006664,unacceptable
0.00608906,ma
0.00465638,clean
0.00436087,ire
0.00345061,supervise
0.00298589,geographic
0.00267183,insure
0.00246635,cessation
0.00219896,bridgehead
0.00196842,cement
0.00158145,atlanta
0.00154773,proud
0.00145202,ambassadorial
0.000929967,thus
0.000728411,hot
0.000695714,modern
0.000558324,overly
0.00024468,mostly
4.16705e-05,besides
2.23876e-05,il
2.11105e-05,slight
1.81486e-05,bastard
1.78616e-05,shut
1.68182e-05,hurry
1.6004e-05,neither
1.59356e-05,originally
1.58895e-05,due
1.58705e-05,ball
1.57953e-05,replace
1.56018e-05,adamant
1.55323e-05,die
1.54883e-05,goddamn
1.54774e-05,normal
1.54638e-05,mediation
1.54442e-05,folder
1.54428e-05,deeply
1.5418e-05,absolute
1.54086e-05,emphasize
1.53976e-05,mobile
1.53976e-05,dissent
1.53941e-05,reliable
1.5392e-05,uniform
1.53847e-05,mi
1.5383e-05,participation
1.53815e-05,ill
1.5376e-05,sterling
1.53714e-05,superficial
1.53628e-05,exact
1.5361e-05,mow
1.5356e-05,dignify
1.53544e-05,similarly
1.53535e-05,mountain
1.53489e-05,aspen
1.53466e-05,accomplish
1.53448e-05,antagonistic
1.53442e-05,zurich
1.5344e-05,sl
1.53407e-05,self
1.53392e-05,tanzania
1.5334e-05,renewal
1.53331e-05,zn
1.53323e-05,moot
1.53318e-05,guard
1.53312e-05,gnp
1.53312e-05,posture
1.53254e-05,usual
1.53245e-05,unemployment
1.53233e-05,tile
1.53219e-05,colonel
1.53208e-05,correspondence
1.53169e-05,wipe
1.53158e-05,lb
1.53156e-05,sep
1.53144e-05,inauguration
