score,token
0.169954,doe
0.0659772,someone
0.0607245,base
0.0471508,seem
0.0376208,forward
0.0354697,realize
0.0327799,advance
0.0314553,face
0.0285494,person
0.0285418,merit
0.0234009,class
0.0224575,recommend
0.0215333,distance
0.0209386,gentleman
0.0168979,america
0.0164642,determine
0.0164264,hit
0.0156101,invade
0.0155162,allow
0.0148008,correspondent
0.0137573,shoot
0.0131431,emphasis
0.0123716,nasty
0.0121245,relatively
0.0117945,shuttle
0.0117943,fa
0.0114374,hopeful
0.0104231,admirer
0.00979809,bright
0.00898075,lord
0.00874552,necessity
0.00853757,extraordinarily
0.00806118,search
0.00761875,christian
0.00615039,beautifully
0.00606482,knee
0.0056014,arafat
0.00525023,lack
0.00480762,spite
0.00474501,disappear
0.00453404,harbor
0.00450176,ceremonial
0.00420912,fm
0.0031379,construct
0.00303989,adjustment
0.0029392,divide
0.00286775,dick
0.00160797,fox
0.00123855,doom
0.000114522,amaze
6.08186e-05,mostly
2.48278e-05,slight
2.01108e-05,besides
1.94617e-05,ball
1.87256e-05,bastard
1.78301e-05,shut
1.70001e-05,hurry
1.67489e-05,hot
1.64269e-05,mediation
1.60698e-05,replace
1.60544e-05,il
1.58757e-05,participation
1.58127e-05,neither
1.57795e-05,due
1.5761e-05,ill
1.55255e-05,tine
1.54709e-05,die
1.54501e-05,superficial
1.54454e-05,aspen
1.53984e-05,opposite
1.53888e-05,goddamn
1.53683e-05,normal
1.53586e-05,absolute
1.53453e-05,deeply
1.53442e-05,folder
1.53298e-05,perfect
1.53255e-05,bloody
1.53137e-05,originally
1.53125e-05,mow
1.53098e-05,correspondence
1.53087e-05,emphasize
1.53004e-05,closely
1.52973e-05,georgetown
1.52884e-05,ie
1.52641e-05,consul
1.52568e-05,star
1.52495e-05,se
1.52474e-05,reliable
1.52442e-05,sl
1.52442e-05,driver
1.5243e-05,guard
1.52424e-05,character
1.52421e-05,mi
1.52413e-05,posture
1.52392e-05,antagonistic
1.52389e-05,mobile
1.52342e-05,lat
1.52283e-05,gnp
1.52272e-05,damned
1.52249e-05,usual
