score,token
0.121166,aid
0.116075,million
0.0871711,pass
0.0586222,map
0.0405338,financial
0.040258,already
0.0378471,money
0.0356465,hell
0.0345354,station
0.0329216,purchase
0.0327101,drop
0.0200753,dollar
0.0195246,congressional
0.0195166,cost
0.0164935,wayne
0.0152517,van
0.0138264,worth
0.0127174,grant
0.0125556,drain
0.0123866,mt
0.01192,impact
0.00965807,editorial
0.00945215,mc
0.00913376,supplemental
0.00886139,militarily
0.0083545,palm
0.00776133,bleed
0.00767664,sm
0.00762739,australian
0.00751715,illinois
0.00748511,dod
0.00632546,entrance
0.0057842,overall
0.00576963,minority
0.00542151,fallback
0.00515479,xt
0.00414754,cosmetic
0.00378155,deficit
0.00368555,zest
0.0035737,perjury
0.00354744,destroy
0.00347879,frenzy
0.00339366,administer
0.00329166,li
0.00309591,fifteen
0.00243353,practically
0.00239789,package
0.00226799,acute
0.00222419,possess
0.00198569,ob
0.00142386,starve
0.00125848,outset
0.000970592,insurance
0.000960055,concurrently
0.000842733,exceed
0.00077581,slightly
0.000652362,readout
0.000289395,rice
8.4287e-05,slight
1.91638e-05,hurry
1.83256e-05,il
1.32972e-05,ball
1.2724e-05,besides
1.22927e-05,bastard
1.21198e-05,mostly
1.16767e-05,shut
1.07335e-05,absolute
1.06388e-05,die
1.06275e-05,neither
1.06208e-05,originally
1.05016e-05,superficial
1.04955e-05,ill
1.04872e-05,hot
1.04529e-05,adamant
1.04428e-05,due
1.04232e-05,mow
1.04206e-05,prayer
1.03373e-05,replace
1.03359e-05,sl
1.03165e-05,mountain
1.02949e-05,attribution
1.02841e-05,goddamn
1.0279e-05,accomplish
1.02768e-05,normal
1.02745e-05,mediation
1.02707e-05,framework
1.02525e-05,perfect
1.02512e-05,exact
1.02494e-05,deeply
1.02488e-05,folder
1.02457e-05,georgetown
1.02417e-05,expert
1.02407e-05,alter
1.02385e-05,single
1.02369e-05,improvement
1.0234e-05,emphasize
1.02334e-05,correspondence
1.02283e-05,memorial
1.02271e-05,uniform
1.02229e-05,participation
