score,token
0.0961814,jackson
0.0673406,angola
0.0553044,campaign
0.053187,language
0.0395652,hawk
0.038642,add
0.0363802,humiliate
0.0309807,memorandum
0.0304035,recollection
0.028814,legislation
0.0264337,road
0.0240192,book
0.0217602,poor
0.0196775,site
0.0185296,legislative
0.018125,platform
0.0180941,curious
0.0162802,johnson
0.0162145,radical
0.0147774,card
0.014362,fr
0.0140647,cutoff
0.0128123,ni
0.0122472,reveal
0.0112566,authorize
0.010418,ellsworth
0.0102555,excerpt
0.0101845,disgust
0.00947422,suspension
0.00916302,rabbi
0.00900665,psychological
0.00881376,barely
0.00781796,sweat
0.00776335,greet
0.00716172,predict
0.00703742,tawdry
0.00695773,aboard
0.00651717,dump
0.00647044,override
0.00590033,incomprehensible
0.00589779,cute
0.00557337,modification
0.00540293,concurrence
0.00531398,manager
0.00513265,discriminatory
0.00506913,apprehensive
0.00499222,miracle
0.00452791,wei
0.00414529,menace
0.00389926,allocate
0.00355419,resolve
0.00326285,honest
0.00308184,membership
0.00255499,origin
0.00192223,armour
0.00151663,thereafter
0.00143974,rf
0.000908789,cod
0.000653293,newman
0.000576977,explode
0.000539116,cuban
0.000429815,bloody
0.000279146,cop
3.05745e-05,shut
2.34494e-05,hot
2.14379e-05,besides
1.97262e-05,mostly
1.97153e-05,bastard
1.80405e-05,hurry
1.70488e-05,slight
1.67392e-05,neither
1.6723e-05,il
1.65243e-05,tine
1.64715e-05,originally
1.64704e-05,emphasize
1.64363e-05,due
1.6396e-05,ball
1.63764e-05,participation
1.614e-05,die
1.61172e-05,slightly
1.60372e-05,goddamn
1.60319e-05,weapon
1.60257e-05,normal
1.60236e-05,brilliant
1.60225e-05,prayer
1.60112e-05,mediation
1.59936e-05,folder
1.59889e-05,deeply
1.59859e-05,replace
1.59655e-05,gnp
1.59438e-05,ill
1.59099e-05,attribution
1.59099e-05,superficial
1.5901e-05,redo
1.59008e-05,adamant
1.58934e-05,ballot
1.58828e-05,guard
1.58798e-05,sl
1.58795e-05,revolutionary
1.58787e-05,reliable
