score,token
0.113382,syrian
0.0870277,write
0.0691429,supply
0.0455523,moment
0.0423442,lead
0.0404567,object
0.0369067,interim
0.0265686,speculation
0.0260831,mood
0.0244087,blow
0.024254,toon
0.0229709,thc
0.0209515,fail
0.019596,prisoner
0.0191279,calm
0.0179106,uneasy
0.0177178,reasonably
0.0176547,solve
0.0165811,initiative
0.0163932,quarrel
0.0157318,capable
0.0155685,audience
0.0150508,perception
0.0148944,logic
0.0137673,extremely
0.0121472,uncertainty
0.0115643,device
0.0115273,food
0.0108208,jerusalem
0.0103257,kid
0.0102977,transmit
0.0102963,dynamic
0.0101173,capture
0.00916333,directly
0.0080669,height
0.00651598,collude
0.00571744,foreigner
0.00513263,ploy
0.00444502,bold
0.0040333,muscle
0.00388164,succeed
0.00335961,rich
0.00268807,guerilla
0.00268789,exclusively
0.00225536,mount
0.000769233,block
0.000431947,absolute
2.16973e-05,besides
2.15942e-05,hurry
2.13183e-05,slight
2.00266e-05,mostly
1.89931e-05,shut
1.89235e-05,bastard
1.82807e-05,hot
1.78038e-05,ill
1.76635e-05,ball
1.73517e-05,aspen
1.72572e-05,deeply
1.72333e-05,die
1.71775e-05,il
1.70385e-05,due
1.68451e-05,superficial
1.67279e-05,adamant
1.66825e-05,replace
1.66009e-05,goddamn
1.65802e-05,normal
1.65696e-05,mediation
1.65614e-05,folder
1.65192e-05,emphasize
1.6519e-05,originally
1.65043e-05,accomplish
1.64981e-05,participation
1.64897e-05,sterling
1.64871e-05,frill
1.6475e-05,normally
1.6472e-05,neither
1.64694e-05,exact
1.64514e-05,ballot
1.64494e-05,slightly
1.6448e-05,mow
1.64468e-05,reliable
1.64465e-05,weapon
1.64442e-05,sl
1.64393e-05,guard
1.64341e-05,star
1.64341e-05,aspect
1.64323e-05,antagonistic
1.64301e-05,gnp
1.64273e-05,incomprehensible
1.64255e-05,correspondence
1.64255e-05,patience
1.64236e-05,georgetown
1.64228e-05,posture
1.64211e-05,similarly
1.64203e-05,turmoil
1.64197e-05,usual
1.64167e-05,self
1.64164e-05,girl
1.64152e-05,namibia
1.64139e-05,colonel
