score,token
0.103093,kr
0.081246,l
0.058527,d
0.0352692,cr
0.033357,la
0.0307735,k
0.0280567,tt
0.0252594,te
0.0232027,bat
0.0220099,dc
0.0191616,kc
0.0161076,oas
0.015545,v
0.014916,t
0.0145788,sight
0.0142444,beyond
0.0140094,ba
0.0136686,aa
0.0130876,correctly
0.0129156,ce
0.0127421,tc
0.0120273,ra
0.0114409,star
0.0114141,differ
0.0102856,shit
0.00985626,obey
0.00971666,blast
0.00939503,capital
0.00929966,si
0.00927223,tn
0.00919541,zero
0.00882356,wear
0.00877776,e
0.00825609,cf
0.00822167,lf
0.00766045,seed
0.00730224,yon
0.00714883,ci
0.00714514,enforce
0.00682875,s
0.00669241,fe
0.006644,da
0.0064558,lebanese
0.00638154,acheson
0.00603967,hnd
0.00594243,fin
0.00566921,tea
0.00517553,er
0.00515221,shirt
0.00497678,austria
0.00490314,de
0.00481573,hew
0.00449489,lx
0.00443316,wee
0.00408732,underline
0.00394463,pose
0.00393655,truman
0.00371353,sn
0.00358359,goo
0.0035227,research
0.00343177,ip
0.00334132,continuity
0.00331748,ashamed
0.00326616,tree
0.00321468,repercussion
0.00317059,loot
0.00309517,tat
0.00303867,br
0.00291947,resistance
0.00290168,scan
0.00289613,consumer
0.00287104,dane
0.00273382,lm
0.00270392,lid
0.00258523,retaliate
0.00257424,bag
0.00256808,shortage
0.00242676,yahoo
0.00232109,dm
0.00201491,cam
0.00199421,raid
0.00155475,eb
0.00154549,hoar
0.00150521,carol
0.00143257,parker
0.00122769,tao
0.0011162,az
0.00111149,ag
0.00110804,thou
0.00101169,ham
0.00101104,ie
0.000977533,ace
0.000893237,ho
0.000731321,pc
0.000586717,fur
0.000400054,dl
0.000364338,ar
0.000182065,timer
1.81628e-05,mostly
1.50247e-05,besides
