score,token
0.10348,such
0.079721,africa
0.0796654,area
0.0770672,general
0.0685273,black
0.0504713,refer
0.0400878,serious
0.0365123,nuclear
0.0280945,britain
0.0239496,qualify
0.0239195,rhodesia
0.0229861,governor
0.0225647,principal
0.0218839,ane
0.018195,mine
0.0162531,tine
0.0156705,namibia
0.014606,zaire
0.0144319,admire
0.0142076,double
0.012873,repeat
0.0124036,warfare
0.0121892,monetary
0.0120668,thailand
0.0120244,utmost
0.0118424,preserve
0.0106762,rake
0.00898599,special
0.0082347,convenience
0.00789037,substitute
0.00769389,familiar
0.00734929,heaven
0.00702544,contingent
0.00430634,uproar
0.00366066,daughter
0.00352085,verify
0.00242798,assassinate
0.00193389,haven
0.00107153,concentration
0.000734758,frenchman
2.41724e-05,besides
2.24518e-05,slight
2.21255e-05,bastard
2.20996e-05,mostly
2.12726e-05,ball
2.06043e-05,shut
1.98152e-05,hurry
1.89734e-05,originally
1.85157e-05,mediation
1.84803e-05,il
1.82771e-05,due
1.81218e-05,hot
1.8072e-05,neither
1.80607e-05,guard
1.79826e-05,relax
1.78972e-05,sl
1.786e-05,die
1.78563e-05,prayer
1.78374e-05,antagonistic
1.77356e-05,goddamn
1.77333e-05,normal
1.77068e-05,folder
1.76821e-05,deeply
1.76751e-05,character
1.76645e-05,foot
1.7661e-05,normally
1.76528e-05,cone
1.76444e-05,emphasize
1.76433e-05,accomplish
1.76334e-05,ill
1.76301e-05,mi
1.76126e-05,participation
1.76049e-05,hun
1.75904e-05,superficial
1.75831e-05,redo
1.75813e-05,martinique
1.7577e-05,wipe
1.75726e-05,indication
1.75642e-05,opposite
1.75612e-05,posture
1.75591e-05,lend
1.7557e-05,self
1.75564e-05,reliable
1.75553e-05,rub
1.75495e-05,mow
1.7549e-05,sterling
1.75478e-05,replace
1.75462e-05,absolute
1.75462e-05,perfect
1.75422e-05,spring
1.75399e-05,gnp
1.75391e-05,expert
1.75321e-05,usual
1.75312e-05,correspondence
1.75291e-05,closely
1.75272e-05,proper
1.75267e-05,star
1.75237e-05,hut
1.75218e-05,weapon
1.7519e-05,sooner
