score,token
0.0678601,company
0.0406271,ml
0.0355821,plane
0.0354865,july
0.03116,responsible
0.0308167,land
0.0307976,indonesia
0.0296564,offensive
0.0247034,knock
0.022847,tank
0.0227602,pour
0.0223085,occasionally
0.0217547,breakdown
0.021704,fly
0.0209193,apply
0.018642,arrange
0.0182631,screw
0.0175524,meir
0.0173585,outstanding
0.0165228,charter
0.0164732,businessmen
0.0158419,adviser
0.0154686,undoubtedly
0.0150908,construe
0.0146665,indonesian
0.0137791,additional
0.0134529,inger
0.0120916,theater
0.0119966,zurich
0.0106199,pilot
0.0104505,embarrassment
0.0104122,solid
0.0100602,profit
0.00924271,permission
0.00917284,ammunition
0.00902675,ottawa
0.00898694,cobra
0.00799637,indeed
0.00783023,candid
0.00771556,participation
0.00744558,sport
0.00739001,approval
0.00734933,aggression
0.00657488,camera
0.00653261,branch
0.00646154,libyan
0.00616084,wood
0.00597125,finalize
0.00577201,misread
0.00567662,string
0.005551,agony
0.00536802,vary
0.00536744,obtain
0.00514133,death
0.00500529,jerk
0.00485281,brigade
0.00455882,sabotage
0.00452759,dedication
0.00435765,revolutionary
0.00430681,empty
0.00427573,rex
0.00409938,democracy
0.00393945,nervousness
0.00309247,obligatory
0.00258267,grateful
0.00256082,eat
0.00212461,hg
0.00208182,infantry
0.00179876,protective
0.00133139,ride
0.00100474,battlefield
0.000615372,diddle
0.000225862,kenyan
2.37868e-05,besides
2.30509e-05,hurry
2.12669e-05,mostly
2.0796e-05,bastard
2.01733e-05,shut
1.92504e-05,originally
1.86883e-05,slight
1.86469e-05,il
1.8286e-05,due
1.81255e-05,ball
1.79704e-05,relax
1.79704e-05,hot
1.78471e-05,slightly
1.77977e-05,die
1.77938e-05,replace
1.77194e-05,goddamn
1.77175e-05,normal
1.77164e-05,uniform
1.77107e-05,deeply
1.76866e-05,mediation
1.76799e-05,folder
1.76733e-05,guyana
1.76478e-05,emphasize
1.76239e-05,aspen
1.7602e-05,ill
1.7602e-05,tine
1.75978e-05,absurd
