score,token
0.227075,line
0.137277,un
0.0965145,veto
0.0618838,text
0.0463711,credit
0.0294139,jew
0.0274854,reduce
0.0270202,brent
0.0250236,specific
0.0237045,consequence
0.0182635,volunteer
0.0174991,english
0.0148034,flexibility
0.0141932,eliminate
0.0140426,cave
0.0138905,commit
0.013007,invasion
0.0110765,operate
0.00935584,participant
0.00878071,main
0.00780652,single
0.00698056,tile
0.00693983,fry
0.00688035,gp
0.00676808,hi
0.0063981,shove
0.0062798,invest
0.00609316,loose
0.00550377,informally
0.00501857,lee
0.00452094,clause
0.00445857,perfect
0.00439397,restoration
0.00421946,originally
0.00382841,brooke
0.00325156,outgo
0.00318783,junta
0.00316219,stevenson
0.00298544,strangely
0.0023791,elimination
0.00152072,revise
0.00142998,halt
0.000381086,unofficial
4.82869e-05,shut
3.52307e-05,besides
2.9927e-05,bastard
2.92874e-05,slight
1.59643e-05,hot
1.55983e-05,mostly
1.43781e-05,hurry
1.41271e-05,character
1.3877e-05,il
1.3661e-05,die
1.35889e-05,participation
1.35827e-05,replace
1.35336e-05,normal
1.35155e-05,due
1.34992e-05,slightly
1.34972e-05,mediation
1.34578e-05,ball
1.34339e-05,gnp
1.32837e-05,absolute
1.32611e-05,adamant
1.3261e-05,admission
1.32447e-05,mow
1.32414e-05,goddamn
1.32167e-05,bloody
1.32153e-05,aspen
1.32002e-05,folder
1.31966e-05,quick
1.31819e-05,deeply
1.31799e-05,tine
1.31748e-05,relax
1.31581e-05,emphasize
1.31509e-05,obligatory
1.31485e-05,ill
1.31409e-05,superficial
1.31381e-05,mountain
1.31324e-05,multilateral
1.31311e-05,neither
1.31226e-05,dissent
1.31214e-05,redo
1.312e-05,sl
1.31161e-05,accomplish
1.31127e-05,exact
1.31114e-05,easily
1.31101e-05,ie
1.31085e-05,guard
1.31082e-05,self
1.31081e-05,posture
1.31076e-05,isolation
1.31052e-05,usual
1.3105e-05,driver
1.31044e-05,unemployment
1.31042e-05,antagonistic
1.31042e-05,sterling
1.31009e-05,privacy
1.31003e-05,indexation
1.30984e-05,admit
1.30983e-05,alter
