score,token
0.141574,south
0.0646851,guy
0.0638888,gromyko
0.0537673,probably
0.0473229,italy
0.0462131,korea
0.0434529,result
0.0419164,event
0.0376351,kennedy
0.0323919,abstain
0.028224,upset
0.0263577,italian
0.0259373,nd
0.0255608,bos
0.0242187,recognize
0.0231014,organization
0.021076,agenda
0.015426,original
0.0149362,notice
0.0131569,cur
0.0115234,precede
0.010085,politically
0.00829274,thetis
0.00815359,upgrade
0.00770939,inconsistent
0.00738695,pretend
0.00697408,satisfaction
0.00671834,condemn
0.00633847,justice
0.00632922,straight
0.0054913,horror
0.00539599,em
0.00538661,lodge
0.00527933,sad
0.00519076,bake
0.00489664,criticism
0.00455739,specifically
0.00406999,goddamn
0.00357251,wring
0.0032817,col
0.00290615,social
0.0027481,operative
0.00236034,arc
0.00230864,minus
0.00208985,meek
0.00096435,institute
0.00090565,socially
0.000449222,brook
0.000265309,zambian
0.000196415,youth
2.0955e-05,besides
1.88993e-05,mostly
1.85384e-05,bastard
1.76391e-05,shut
1.69987e-05,hurry
1.63067e-05,slight
1.62552e-05,participation
1.58263e-05,il
1.56007e-05,due
1.55553e-05,ball
1.54853e-05,hot
1.54201e-05,admission
1.53583e-05,emphasize
1.5276e-05,die
1.52727e-05,tine
1.52712e-05,replace
1.52432e-05,sarcasm
1.5197e-05,normal
1.51704e-05,mediation
1.51521e-05,indication
1.51409e-05,folder
1.51349e-05,adamant
1.5131e-05,perfect
1.5131e-05,multilateral
1.51241e-05,deeply
1.5111e-05,ballot
1.51105e-05,originally
1.50972e-05,ill
1.50945e-05,sharp
1.50845e-05,brilliant
1.50794e-05,bucharest
1.50716e-05,superficial
1.50694e-05,neither
1.50608e-05,character
1.50505e-05,privacy
1.50463e-05,bear
1.50423e-05,sl
1.50388e-05,unlimited
1.50366e-05,posture
1.50357e-05,guard
1.50284e-05,philosophy
1.50282e-05,self
1.50266e-05,antagonistic
1.50261e-05,misapprehension
1.50257e-05,abstention
1.50254e-05,absolute
1.50245e-05,unemployment
1.50243e-05,explicitly
1.50243e-05,bout
1.50225e-05,gnp
