collection,date,id,title,topic_score
kissinger,1975-06-11 14:20:00,0000C03C,Telecon with Kissinger and Schlesinger AT 2:20 P.M.,0.190243
kissinger,1975-07-19 00:15:00,0000D95E,TELECON WITH AMBASSADOR DINITZ AT 12:15 A.M.,0.125328
kissinger,1975-03-05 08:56:00,0000BBC1,TELECON WITH TOTTO PASSMAN AT 8:56 A.M.,0.115385
kissinger,1974-12-19 10:00:00,0000BAEB,TELECON WITH PASSMAN AT 10:00 A.M.,0.102562
kissinger,1975-11-05 13:30:00,0000D8C7,TELECON WITH AMBASSADOR DINITZ AT 1:30 P.M.,0.1
kissinger,1976-01-29 16:10:00,0000BD83,Telecon with Kissinger and Ted Koppel AT 4:10 P.M.,0.0967744
kissinger,1975-06-13 18:40:00,0000D804,TELECON WITH JOSEPH SISCO AT 6:40 P.M.,0.0941116
kissinger,1974-06-07 00:00:00,0000C9AD,TELECON WITH ADLAI STEVENSON/SECRETARY KISSINGER AT 4:00,0.0852999
kissinger,1975-08-08 20:00:00,0000BEE2,TELECON WITH MR. ROBINSON/THE SECRETARY AT 8:00 P.M.,0.0851065
kissinger,1974-10-04 09:58:00,0000C97E,TELECON WITH DOBRYNIN AT 9:58 A.M.,0.0848487
kissinger,1974-04-16 00:00:00,0000C51C,Telecon with Otto Passman and Kissinger,0.0846149
kissinger,1975-02-09 13:55:00,0000BB96,TELECON WITH CONTE AT 1:55 P.M.,0.0793653
kissinger,1976-01-06 12:35:00,0000BD43,Telecon with John Swearingen and Kissinger AT 12:35 P.M.,0.0781251
kissinger,1974-02-02 14:23:00,0000C40A,TELECON WITH MR. GEYELIN- SECRETARY KISSINGER AT 2:23 P.M.,0.0729166
kissinger,1975-08-06 09:44:00,0000C964,TELECON WITH DINITZ AT 9:44 A.M.,0.0697673
kissinger,1974-01-02 09:45:00,0000C5F7,Telecon with Larry Eagleburger and Kissinger at 9:45 A.M.,0.0687834
kissinger,1976-07-29 09:30:00,0000BE9E,Telecon with Kissinger and Butz AT 9:30 A.M.,0.0671619
kissinger,1975-10-10 14:50:00,0000D8E7,TELECON WITH ABMASSADOR DINITZ AT 2:50 P.M.,0.0647062
kissinger,1973-10-03 12:45:00,0000C1FD,TELECON WITH SENATOR BYRD - SECRETARY KISSINGER AT 12:45 P.M,0.0640397
kissinger,1975-06-12 15:52:00,0000C040,Telecon with Kissinger and Schlesinger AT 3:52 P.M.,0.0620153
kissinger,1974-06-03 16:35:00,0000C98C,TELECON WITH MR. MCNAMARA/SECRETARY KISSINGER AT 4:35 P.M.,0.0619463
kissinger,1975-11-14 09:40:00,0000D9CC,TELECON WITH SENATOR PASSAMAN AT 9:40 A.M.,0.0598803
kissinger,1975-07-22 15:30:00,0000BC8A,TELECON WITH MR. SISCO/SECRETARY KISSINGER AT 3:30 P.M.,0.0588238
kissinger,1974-01-07 15:05:00,0000C432,TELECON WITH HAIG/SEC KISSINGER AT 3:05 P.M.,0.0584417
kissinger,1976-07-01 00:00:00,0000D8F6,TELECON WITH KISSINGER/AMB DINITZ AT 10:05AM,0.056604
kissinger,1974-09-30 15:25:00,0000C967,TELECON WITH DAN PARKER AT 3:25 P.M.,0.0564517
kissinger,1976-08-21 09:31:00,0000CF73,TELECON WITH MR. YEO/SECRETARY KISSINGER AT 9:31 A.M.,0.0558989
kissinger,1975-03-24 18:36:00,0000D84D,TELECON WITH SENATOR JAVITS AT 6:36 P.M.,0.0555557
kissinger,1976-03-09 00:00:00,0000BDC7,Telecon with the Secretary and Robert Morgan,0.054795
kissinger,1975-07-24 14:50:00,0000BD69,TELECON WITH SEC. BUTZ/SEC. KISSINGER AT 2:50 P.M.,0.0531919
kissinger,1975-07-17 15:18:00,0000BEC9,TELECON WITH CONGRESSMAN WAYNE HAYS AT 3:18 P.M.,0.0519482
kissinger,1975-07-19 14:55:00,0000C955,TELECON WITH DINITZ AT 2:55 P.M.,0.0514695
kissinger,1976-03-25 17:55:00,0000BF3C,TELECON WITH MR. STEVEN DEBROUGH/SECRETARY KISSINGER AT 5:55,0.0499999
kissinger,1974-12-17 15:27:00,0000BAE2,TELECON WITH PASSMAN AT 3:27 P.M.,0.0492959
kissinger,1974-10-04 00:00:00,0000D9A4,TELECON WITH AMBASSADOR DOBRYNIN AT 3:05 P.M,0.0489366
kissinger,1974-07-16 09:30:00,0000C9E7,TELECON WITH ARTHUR BURNS/SEC KISSINGER AT 9:30 A.M.,0.0487805
kissinger,1975-06-13 15:15:00,0000C049,Telecon with Habib and the Kissinger AT 3:15 P.M.,0.0487804
kissinger,1974-02-11 17:35:00,0000C6BB,Telecon with Scowcroft and Kissinger at 5:35 P.M.,0.0482754
kissinger,1973-10-19 09:56:00,0000C801,TELECON WITH HAK/JOE ALSOP AT 9:56 A.M.,0.0481288
kissinger,1975-10-09 10:57:00,0000BD17,Telecon with David Binder and Kissinger AT 10:57 A.M.,0.0461538
kissinger,1975-10-16 11:20:00,0000BC96,Telecon with Kissinger and Helmut Sonnenfeldt AT 11:20 A.M.,0.0454547
kissinger,1974-10-04 00:00:00,0000C1DC,Telecon with Kissinger and Dobrynin,0.0439563
kissinger,1974-08-19 19:53:00,0000D63B,TELECON WITH PETER PRELINGHUYSEN AT 7:53 P.M.,0.0431035
kissinger,1974-07-19 14:15:00,0000CA01,TELECON WITH SECRETARY KISSINGER/AMB MCCLOSKEY AT 2:15 P.M.,0.0425654
kissinger,1975-10-14 12:35:00,0000BC94,Telecon with Javits and the Secretary AT 12:35 P.M.,0.0425532
kissinger,1973-10-17 09:35:00,0000C7EF,TELECON WITH SEC CLEMENTS/HAK AT 9:35 A.M.,0.0420168
kissinger,1976-04-12 10:52:00,0000DA4E,TELECON WITH McEACHEN AT 10:52 A.M.,0.0416667
kissinger,1976-03-10 17:39:00,0000D751,TELECON WITH VICE PRESIDENT ROCKEFELLER AT 5:39 P.M.,0.0413199
kissinger,1973-10-25 18:55:00,0000C882,TELECON WITH GEORGE SPRINGSTEEN - SECRETARY KISSINGER AT 6:5,0.0409837
kissinger,1974-12-19 13:10:00,0000D9F3,TELECON WITH SECRETARY SIMON AT 1:10 P.M.,0.0404038
kissinger,1974-09-05 18:35:00,0000D651,TELECON WITH BILL COLBY AT 6:35 P.M.,0.04
kissinger,1974-09-13 17:45:00,0000D664,TELECON WITH MR. ENDERS AT 5:45 P.M.,0.04
kissinger,1974-04-26 12:35:00,0000C562,Telecon with Sparkman and Kissinger at 12:35 P.M.,0.0393702
kissinger,1974-03-12 20:10:00,0000C497,Telecon with Ernst Van der Beugel and Kissinger at 8:10 P.M.,0.0384619
kissinger,1976-03-13 00:00:00,0000D729,TELECON WITH AMB. McCLOSKEY AT 11:42  A.M.,0.0375939
kissinger,1976-10-21 16:23:00,0000D990,TELECON WITH AMBASSADOR DINITZ AT 4:23 P.M.,0.0368423
kissinger,1975-10-16 12:03:00,0000BC97,Telecon with Kissinger and Butz AT 12:03 P.M.,0.036232
kissinger,1975-09-15 15:00:00,0000DA2D,TELECON WITH MR. ENDERS AT 3:00 P.M.,0.0354611
kissinger,1975-06-16 10:58:00,0000D7FC,TELECON WITH BILL HYLAND AT 10:58 A.M.,0.035461
kissinger,1975-04-16 18:30:00,0000D865,TELECON WITH MR.  MCCLOSKEY AT 6:30 P.M.,0.0352113
kissinger,1974-07-19 14:50:00,0000D20B,TELECON WITH INGERSOLL/MCCLOSKEY/STABLER/KISSINGER AT 2:50 P,0.0347491
kissinger,1974-09-05 18:25:00,0000D652,TELECON WITH GOVERNOR REAGAN AT 6:25 P.M.,0.0347224
kissinger,1975-03-28 00:00:00,0000D84F,TELECON WITH MR. MAX FISHER AT 12:25,0.0347224
kissinger,1975-08-11 20:25:00,0000D967,TELECON WITH AMBASSADOR DINITZ AT 8:25 P.M.,0.0338471
kissinger,1975-12-23 10:28:00,0000D6F2,TELECON WITH AMBASSADOR DINITZ AT 10:28 A.M.,0.0336135
kissinger,1974-09-12 11:02:00,0000D661,TELECON WITH AMBASSADOR McCLOSKEY AT 11:02 A.M.,0.0336134
kissinger,1973-10-12 00:00:00,0000C6EA,TELECON WITH SCHLESINGER/KISSINGER AT 5:40,0.0336127
kissinger,1975-04-18 16:35:00,0000D86C,TELECON WITH MR. GARMENT AT 4:35 P.M.,0.0331494
