collection,date,id,title,topic_score
kissinger,1973-10-06 18:30:00,0000C227,TELECON WITH MINISTER EBAN/KISSINGER AT 6:30 P.M.,0.13952
kissinger,1973-10-06 18:25:00,0000C22B,TELECON WITH FONMIN EBAN - SECRETARY KISSINGER AT 6:25 P.M.,0.133331
kissinger,1975-04-19 00:00:00,0000C983,TELECON WITH PHIL HABIB AT 5:38  P.M.,0.0986791
kissinger,1975-02-26 00:00:00,0000CF86,TELECON WITH AMB MOYNIHAN/SECY KISSINGER AT 3:13 P..,0.0964264
kissinger,1973-10-12 00:00:00,0000C6E3,TELECON WITH THE PRESIDENT/KISSINGER AT 8:38 a.m.,0.0714289
kissinger,1975-06-06 15:40:00,0000C014,Telecon with Dinitz and Kissinger AT 3:40 P.M.,0.0618183
kissinger,1973-10-12 08:35:00,0000C6E2,TELECON WITH AMB. DINITZ/KISSINGER AT 8:35 A.M.,0.0617283
kissinger,1974-04-18 00:00:00,0000C52D,Telecon with HAK and Sisco,0.0567255
kissinger,1975-04-09 14:40:00,0000BBED,TELECON WITH BEN BRADLEE AT 2:40 P.M.,0.0562501
kissinger,1974-03-23 13:30:00,0000C581,TELECON WITH DOBRYNIN AT 1:30 P.M.,0.055555
kissinger,1976-01-29 15:55:00,0000BD82,Telecon with Kissinger and Hubert H Humphrey AT 3:55 P.M.,0.0551184
kissinger,1975-01-23 12:00:00,0000BB49,TELECON WITH ESENBEL AT 12:00 P.M.,0.0549453
kissinger,1975-04-22 14:30:00,0000BC16,TELECON WITH TED KOPPEL AT 2:30 P.M.,0.0529803
kissinger,1974-03-14 00:00:00,0000C49E,Telecon with Schlesinger and Kissinger at 9:10AM,0.0516124
kissinger,1974-09-14 16:25:00,0000DA48,TELECON WITH AMBASSADOR DINITZ AT 4:25 P.M.,0.0505065
kissinger,1973-10-13 09:50:00,0000C183,Telecon with Dobrynin and Kissinger at 9:50 A.M.,0.0503169
kissinger,1973-10-24 19:25:00,0000C85F,TELECON WITH DOBRYNIN/KISSINGER AT 7:25 P.M.,0.0491803
kissinger,1973-10-11 16:30:00,0000C2A3,TELECON WITH DINITZ/SEC KISSINGER AT 4:30 P.M.,0.0484853
kissinger,1975-09-27 11:50:00,0000D9AD,TELECON WITH AMBASSADOR DOBRYNIN AT 11:50 A.M.,0.0476193
kissinger,1973-10-13 09:50:00,0000C747,TELECON WITH AMB DOBRYNIN - SECRETARY KISSINGER AT 9:50 A.M.,0.046875
kissinger,1973-10-18 22:45:00,0000C800,TELECON WITH SCOWCROFT/KISSINGER AT 10:45 P.M.,0.0465123
kissinger,1974-06-21 00:00:00,0000C1CB,Telecon with Dobrynin and Kissinger,0.0454537
kissinger,1975-04-22 07:59:00,0000D898,TELECON WITH SECRETARY CLEMENTS AT 7:59 A.M.,0.0451215
kissinger,1973-10-07 13:30:00,0000C243,TELECON WITH SECRETARY SCHESINGER - SECRETARY KISSINGER AT 1,0.0434787
kissinger,1975-03-04 10:35:00,0000BBC0,TELECON WITH WILLIAM ROGERS AT 10:35 A.M.,0.0434732
kissinger,1974-12-02 10:19:00,0000CF83,TELECON WITH SECRETARY KISSINGER/AMBASSADOR MCCLOSKEY AT 10:,0.042683
kissinger,1973-10-13 00:00:00,0000C73C,TELECON WITH SECRETARY KISSINGER/AMBASSADOR DINITZ AT 12:32,0.0419164
kissinger,1975-04-29 01:25:00,0000D7E8,TELECON WITH PHIL HABIB AT 1:25 A.M.,0.0398242
kissinger,1976-10-01 15:54:00,0000BF19,Telecon with Kissinger and Phil Habib at 3:54 P.M.,0.0393708
kissinger,1975-04-29 01:06:00,0000D7E7,TELECON WITH THE PRESIDENT AT 1:06 A.M.,0.0389613
kissinger,1974-01-29 15:50:00,0000C1C1,Telecon with Kissinger and Dobrynin at 3:50 P.M.,0.03876
kissinger,1975-04-24 16:00:00,0000D87A,TELECON WITH AMBASSADOR DOBRYNIN AT 4:00 P.M.,0.0384613
kissinger,1974-03-12 00:00:00,0000C489,Telecon with Kissinger and Larry Eagleburger,0.0382167
kissinger,1974-01-28 17:30:00,0000C66D,Telecon with Kissinger and Dan Rather at 5:30 P.M.,0.0373135
kissinger,1974-08-15 00:00:00,0000D6CE,TELECON WITH BRITISH FOREIGN MINISTER CALLAGHAN AT 10:43 AA.,0.0362905
kissinger,1975-04-10 09:45:00,0000BBEE,TELECON WITH DAVID BINDER AT 9:45 A.M.,0.0349653
kissinger,1975-02-22 09:50:00,0000BBA4,TELECON WITH FULBRIGHT AT 9:50 A.M.,0.0347831
kissinger,1975-02-06 10:22:00,0000BB87,TELECON WITH ARTHUR HARTMAN AT 10:22 A.M.,0.0338983
kissinger,1974-03-06 21:30:00,0000C472,Telecon with Scowcroft and Kissinger AT 9:30 P.M.,0.0338983
kissinger,1975-08-11 20:25:00,0000D967,TELECON WITH AMBASSADOR DINITZ AT 8:25 P.M.,0.0338472
kissinger,1976-12-14 00:00:00,0000CF79,TELECON WITH SEC KISSINGER/PHIL HABIB AT 12 NOON,0.0336135
kissinger,1975-10-08 19:05:00,0000D8A1,TELECON WITH AMBASSADOR DINITZ AT 7:05 P.M.,0.0333332
kissinger,1976-03-26 18:14:00,0000D75C,TELECON WITH BRYCE HARLOW AT 6:14 P.M.,0.0327873
kissinger,1973-10-29 12:58:00,0000C8CC,TELECON WITH SECRETARY SCHLESINGER - SECRETARY KISSINGER AT ,0.03268
kissinger,1975-11-21 20:00:00,0000BD2C,Telecon with Sonnenfeldt and Kissinger AT 8:00 P.M.,0.0322581
kissinger,1973-10-11 14:40:00,0000C29E,TELECON WITH SISCO/SEC KISSINGER AT 2:40 P.M.,0.0317462
kissinger,1974-02-17 15:50:00,0000C958,TELECON WITH FAHMI AT 3:50 P.M.,0.0312501
kissinger,1974-12-06 07:55:00,0000BAD8,TELECON WITH INGERSOLL AT 7:55 A.M.,0.0310079
kissinger,1976-11-13 13:05:00,0000D998,TELECON WITH GEORGE BUSH AT 1:05 P.M.,0.0310078
kissinger,1975-02-28 19:00:00,0000BBB4,TELECON WITH CLIFTON DANIEL AT 7:00 P.M.,0.0298513
kissinger,1975-06-13 18:40:00,0000D804,TELECON WITH JOSEPH SISCO AT 6:40 P.M.,0.0294121
kissinger,1973-10-26 10:42:00,0000C88C,TELECON WITH CROMER/HAK AT 10:42 A.M.,0.0287771
kissinger,1976-07-21 00:00:00,0000D906,TELECON WITH KISSINGER/AMBASSADOR DOBRYNIN AT 1:22PM,0.0285715
kissinger,1973-12-29 08:58:00,0000C5EE,Telecon with Sclesinger and Kissinger at 8:58 A.M.,0.0284095
kissinger,1974-04-12 09:25:00,0000C506,Telecon with Scowcroft and Kissinger at 9:25 A.M.,0.0265485
kissinger,1976-07-01 00:00:00,0000D930,TELECON WITH KISSINGER/GENERAL SCOWCROFT AT 7:15PM,0.0263158
kissinger,1974-08-21 17:58:00,0000D63F,TELECON WITH NELSON ROCKEFELLER AT 5:58 P.M.,0.0258621
kissinger,1976-08-12 00:00:00,0000D90F,TELECON WITH KISSINGER/SENATOR JAVITS AT 11:35AM,0.0247939
kissinger,1976-03-03 15:25:00,0000BDA4,Telecon with Javits and Kissinger AT 3:25 P.M.,0.0247935
kissinger,1975-09-12 18:30:00,0000BE01,TELECON WITH MR. JOSEPH CALIFANO/THE SECRETARY AT 6:30 P.M.,0.0247934
kissinger,1973-10-13 09:35:00,0000C73D,TELECON WITH GEN HAIG - SECRETARY KISSINGER AT 9:35 A.M.,0.0236221
