score,token
0.110364,uk
0.100384,team
0.085913,indian
0.0463985,dec
0.0387434,nov
0.0331867,pakistani
0.0303407,advisory
0.0296899,islamabad
0.0209857,msg
0.0206813,iaea
0.0203111,rhodesian
0.0189351,inr
0.0168897,mod
0.0166934,ng
0.0156435,polaris
0.0151501,dutch
0.0147433,delhi
0.012532,taylor
0.00894891,boon
0.00811238,prop
0.0073521,kashmir
0.00734598,harden
0.00711707,lord
0.00598751,mf
0.00569981,demarche
0.00560468,pal
0.00545568,gene
0.00535966,lahore
0.00496657,goa
0.0044616,hm
0.00445517,sage
0.00398991,subcontinent
0.00377587,pet
0.0036356,gandhi
0.0035488,bangladesh
0.00341011,trustee
0.00332523,mediation
0.00309876,patrick
0.00307862,adamant
0.00292217,predominance
0.00289176,longstanding
0.00283945,saclant
0.00282975,pant
0.00281187,punch
0.00275346,ded
0.00253326,cater
0.00234064,backgrounder
0.0023181,cro
0.00230932,reliant
0.00228871,nra
0.00223883,rawalpindi
0.00223337,pia
0.00220541,umbrella
0.00216908,whitehead
0.00216112,paratrooper
0.0021424,tibet
0.00214017,wharf
0.00213028,urgently
0.00205807,backbone
0.00204302,hopeful
0.00202663,ruler
0.0020207,turbulence
0.00187764,crunch
0.00185231,disillusionment
0.00183408,optimize
0.00180308,swallow
0.00179425,dacca
0.00178391,bowl
0.00173122,curtis
0.00162219,hindu
0.00158505,kathmandu
0.00155494,gore
0.00153345,mujahid
0.0015306,accede
0.0015235,calcutta
0.00152032,damp
0.00150709,milestone
0.00147179,deli
0.00139688,noyes
0.00137578,astronaut
0.00132659,pons
0.00125438,charitable
0.00124156,drafter
0.00123033,galbraith
0.00120793,retort
0.0011808,haji
0.00116415,pip
0.00114924,naked
0.00112311,domicile
0.00111465,readjustment
0.00111078,cony
0.00109766,pul
0.00108946,rna
0.00107905,bruise
0.00107878,generosity
0.000959526,barren
0.000950872,dail
0.000942248,sparsely
0.000924799,stonewall
0.000914095,unsophisticated
