score,token
0.0808622,latin
0.0702999,credit
0.0529294,egypt
0.0462465,presence
0.0416955,grow
0.0365952,el
0.0320671,mexico
0.0283911,firm
0.0275761,salvador
0.0249183,cairo
0.022887,session
0.0192703,guatemala
0.0183512,protocol
0.0170492,mexican
0.0167755,concession
0.0165812,willingness
0.0158186,certainly
0.0153334,ara
0.015119,acceptance
0.0126276,chilean
0.0125456,hemisphere
0.011004,salvadoran
0.0103139,argentina
0.0102396,nicaragua
0.00963427,bolivia
0.00846801,guatemalan
0.00786587,lease
0.00778306,venezuela
0.00762489,lay
0.00709619,preferential
0.00625367,client
0.00623302,bolivian
0.00571518,colombia
0.00547813,damascus
0.0048717,auto
0.00484929,highlight
0.00466125,ale
0.0046505,peruvian
0.00463454,expropriation
0.00463386,managua
0.00456089,lane
0.00416646,mediate
0.00405599,honduras
0.0039634,steadily
0.00357382,beef
0.00297035,brasilia
0.00290135,defiance
0.00289991,unrelated
0.00281046,validity
0.00263725,uruguay
0.00263718,haiti
0.00253329,ecuador
0.00248724,lima
0.00244217,venezuelan
0.00243009,bogota
0.0024065,forcefully
0.00239726,disorderly
0.00238147,mood
0.00238053,extraction
0.0023179,ascertain
0.00230597,unnecessary
0.00222641,surely
0.00214983,partition
0.00212189,inhibition
0.00212007,pap
0.00198824,ponce
0.00196824,subtle
0.00196398,animosity
0.00195812,corollary
0.00192259,mute
0.00189766,naive
0.00189567,chavez
0.00187675,tegucigalpa
0.00184221,hughes
0.00167272,unleash
0.0016251,tijuana
0.00158073,plainly
0.0015616,americanism
0.00155448,spar
0.00154953,hail
0.00147048,intransigent
0.00146997,blur
0.00145605,impel
0.00144024,oligarchy
0.00143753,primacy
0.00139423,salina
0.00138779,preside
0.00134165,disadvantageous
0.00132973,peron
0.0013054,belize
0.00129011,unionist
0.00128901,decidedly
0.00127795,uca
0.00115513,wisely
0.00115187,amp
0.00114918,presume
0.00111165,acutely
0.00108327,refund
0.00107953,ample
0.00107083,aire
