score,token
0.0514095,fire
0.0431157,space
0.0408107,site
0.0397067,february
0.0388378,four
0.0383643,damage
0.0377109,five
0.0374002,man
0.0359407,flight
0.0305178,destroy
0.0288462,station
0.0247687,se
0.0207233,icbm
0.0173691,locate
0.0166425,minute
0.0165799,bridge
0.0154371,ballistic
0.0145327,monitor
0.0143126,alert
0.0133616,arrive
0.0111731,warhead
0.011146,miss
0.0107633,track
0.0103149,rocket
0.00893086,respond
0.00891178,minuteman
0.0088631,preliminary
0.00862231,dc
0.00764512,suspect
0.00755036,join
0.00698158,tour
0.00695402,manage
0.00681433,silo
0.00653112,guide
0.00638526,sample
0.00619949,w
0.0061842,deterrence
0.00615814,arrival
0.00611382,telemetry
0.00605104,multiple
0.00599503,evaluate
0.0059804,engine
0.00574612,detect
0.00561729,photography
0.00497946,payload
0.00482779,inspector
0.00476288,booster
0.004736,titan
0.0045585,mayor
0.00412718,cosmos
0.0038258,nm
0.00369653,atlas
0.00341069,wire
0.00321002,hen
0.00315198,personality
0.00300894,aft
0.00261746,expend
0.00259978,usmc
0.00250967,finish
0.00247287,cloud
0.00230256,rendezvous
0.00227543,unman
0.00224258,liquid
0.0022271,propellant
0.00222455,configuration
0.00220663,commence
0.00219987,pad
0.00218315,nose
0.00212098,sputnik
0.00211318,blast
0.00208475,reporter
0.00206614,lv
0.00205011,magnetic
0.00202881,warehouse
0.00196314,orbital
0.0019156,spacecraft
0.00186857,ceremony
0.00181666,placement
0.0018034,antenna
0.0017795,bai
0.00170376,crater
0.00164816,capsule
0.00164688,takeoff
0.00161505,meteorological
0.00161228,diagram
0.00160975,velocity
0.00159502,northwestern
0.0015485,squad
0.00149807,nearby
0.00145662,electrical
0.00144893,turnover
0.00144427,revetment
0.00142425,instant
0.00132183,cam
0.00131057,pershing
0.00130199,shuttle
0.0012882,specification
0.0012852,crib
0.00124215,keyhole
0.00121886,auxiliary
