score,token
0.11752,communication
0.0568253,justice
0.0493201,guard
0.0393915,violation
0.0381577,premier
0.038107,independent
0.0351811,personal
0.0322258,supreme
0.0299123,arrange
0.0278038,ra
0.0184567,seizure
0.0181146,consulate
0.0168114,league
0.0147311,h
0.0142256,telecommunication
0.0139634,compliance
0.0130027,courier
0.0127469,reorganization
0.0127016,personally
0.0105235,microwave
0.00954318,alabama
0.00951006,lieutenant
0.00910775,dead
0.00910356,composition
0.00896659,organ
0.00880114,await
0.0087305,disposition
0.00863964,confine
0.00851688,hello
0.00796195,armistice
0.00705281,purge
0.0067929,deeply
0.00571939,inherent
0.00561704,attendance
0.00525918,truce
0.00488626,mechanize
0.00477226,cpr
0.00467603,dissatisfaction
0.00448777,reciprocal
0.00438745,sg
0.00410501,hereto
0.0040701,dismissal
0.00364639,bernard
0.00333576,kid
0.00325114,fist
0.003235,sap
0.0031993,morton
0.00319805,geography
0.00308162,inactive
0.0030642,gestapo
0.00287992,creative
0.00283367,uneasiness
0.00278787,predominantly
0.0026291,indifferent
0.0026146,swiftly
0.00260604,bailey
0.00260132,reorganize
0.00258065,accountability
0.00255636,madison
0.0024697,repatriation
0.0024679,prussian
0.00245612,accreditation
0.00242278,stupid
0.00235247,tcp
0.00234519,sway
0.00227904,messenger
0.00225619,simplify
0.00222576,enthusiasm
0.00219553,bribe
0.00217179,courageous
0.00216408,mote
0.0020677,oscar
0.00200457,overshadow
0.00179427,juneau
0.00169692,subordination
0.00167323,pray
0.00159897,propagation
0.00158168,commemorate
0.00153767,caledonia
0.00147869,differentiation
0.00139739,onward
0.00137973,exhortation
0.00133715,ejection
0.00131196,gentile
0.00131023,zulu
0.00126312,organizationally
0.00120161,juror
0.00112057,workplace
0.00103995,illusory
0.00103561,contravention
0.00103409,predilection
0.00101041,ascension
0.000970862,libel
0.00095981,inapplicable
0.000946327,yeoman
0.000856781,reorder
0.000822258,woodcock
0.000820247,intermittently
0.000819169,sender
0.000809679,escrow
