date,topic_score,id,collection,title
1975-01-15 00:00:00,0.444496,d_1974.03.26_doc_II-89,CPDOC,"Documentos referentes aos despachos de Azeredo da Silveira como ministro das Relacoes Exteriores com o presidente da Republica Ernesto Geisel. O dossie e composto por documentos do tipo ""Informacoes ao Senhor Presidente da Republica"" abordando diversos asuntos, tais como: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas, viagens do presidente Geisel e de Azeredo da Silveira, assim como de outros chanceleres e presidentes ao Brasil."
1978-04-15 00:00:00,0.440865,d_1974.03.26_doc_XXII-21,CPDOC,"Documentos referentes aos despachos de Azeredo da Silveira como ministro das Relacoes Exteriores com o presidente da Republica Ernesto Geisel. O dossie e composto por documentos do tipo ""Informacoes ao Senhor Presidente da Republica"" abordando diversos asuntos, tais como: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas, viagens do presidente Geisel e de Azeredo da Silveira, assim como de outros chanceleres e presidentes ao Brasil."
1975-01-15 00:00:00,0.431164,d_1974.03.26_doc_III-47,CPDOC,"Documentos referentes aos despachos de Azeredo da Silveira como ministro das Relacoes Exteriores com o presidente da Republica Ernesto Geisel. O dossie e composto por documentos do tipo ""Informacoes ao Senhor Presidente da Republica"" abordando diversos asuntos, tais como: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas, viagens do presidente Geisel e de Azeredo da Silveira, assim como de outros chanceleres e presidentes ao Brasil."
1977-04-15 00:00:00,0.430198,ag_1974.01.22_doc_V-75,CPDOC,"Documentos referentes ? questoes burocr?icas e administrativas do Itamaraty durante a atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. O dossie e constituido, primordialmente, por correspondencia entre o titular e funcion?ios do Itamaraty. Tratam de viagens de trabalho, ferias, transferencia e remocoes; credenciamentos de funcion?ios no exterior; quadro de acesso; auxilio consular a brasileiros no exterior; construc? de moradia para os funcion?ios em Brasilia; orcamento para o Ministerio; criac? e suprimento de cargos nas embaixadas; conservac? do monumento brasileiro em Pistoia (It?ia);  e processos administrativos de funcion?ios. Inclui ainda avisos (correspondencia entre Ministros) contendo orientacoes do governo para o Ministerio das Relacoes Exteriores e para a administrac? publica em geral."
1979-06-15 00:00:00,0.429425,d_1974.04.23_doc_XVI-19,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1976-05-15 00:00:00,0.428879,vp_1975.09.03_doc_III-13,CPDOC,"Documentos referentes ?atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores nas viagens do presidente Ernesto Geisel ?Franca, em abril de 1976, e ?Inglaterra, em maio de 1976. O dossie e constituido por correspondencia, relatorios e estudos que tratam dos preparativos para as viagens, tais como discursos, agendas e programas, e dos subsidios para as conversacoes com as autoridades francesas e inglesas, abordando questoes de interesses bilaterais, alem de perfis das autoridades desses paises. Destacam-se os documentos sobre a participac? francesa na construc? da Usina de Tucurui e sobre a repercuss? politica, na Inglaterra, da visita do presidente brasileiro, alvo de criticas ao regime militar vigente no Brasil, alem dos livros intitulados ""Viagem do Presidente Geisel ?Franca. Registro Historico e Repercussoes"" e ""Viagem do Presidente Geisel ?Inglaterra. Registro Historico e Repercussoes""."
1979-06-15 00:00:00,0.427228,d_1974.04.23_doc_XVIII-12,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1979-06-15 00:00:00,0.424992,d_1974.04.23_doc_XV-33,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1975-05-15 00:00:00,0.424429,rb_1974.08.19_doc_I-33,CPDOC,"Documentos referentes ?atuac? de Azeredo da Silveira como Ministro das Relacoes Exteriores nas relacoes bilaterais entre o Brasil  e diversos paises da ?rica, entre eles, ?rica do Sul, Argelia, Angola, Costa do Marfim, Mocambique e Nigeria. O dossie e constituido por correspondencia enre o Itamaraty e as embaixadas, postos diplom?icos brasileiros nesses paises, e  autoridades africanas tratando de visitas de autoridades desses paises ao Brasil e vicce-versa; agradecimentos; mensagens de amizade, respeito e cooperac?. Destacam-se os documentos relativos ?proclamac? de independencia de Angola, assim como informacoes sobre a quest? da descolonizac? dos paises de lingua portuguesa (Cabo Verde, Guine Bissau e Mocambique). Inclui ainda documentos sobre a invas? do Saara Ocidental pelo Marrocos e Maurit?ia, carta do presidente do Egito El-Sadat a Geisel enfatizando a necessidade de se manter o di?ogo sobre a paz no Oriente e elogiando a posic? do Brasil na ONU em relac? ao sionismo, alem de informacoes sobre a viagem de Azeredo da Silveira ?Abdijan (Costa do Marfim), em junho de 1975."
1976-04-15 00:00:00,0.422889,vp_1975.09.03_doc_II-17,CPDOC,"Documentos referentes ?atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores nas viagens do presidente Ernesto Geisel ?Franca, em abril de 1976, e ?Inglaterra, em maio de 1976. O dossie e constituido por correspondencia, relatorios e estudos que tratam dos preparativos para as viagens, tais como discursos, agendas e programas, e dos subsidios para as conversacoes com as autoridades francesas e inglesas, abordando questoes de interesses bilaterais, alem de perfis das autoridades desses paises. Destacam-se os documentos sobre a participac? francesa na construc? da Usina de Tucurui e sobre a repercuss? politica, na Inglaterra, da visita do presidente brasileiro, alvo de criticas ao regime militar vigente no Brasil, alem dos livros intitulados ""Viagem do Presidente Geisel ?Franca. Registro Historico e Repercussoes"" e ""Viagem do Presidente Geisel ?Inglaterra. Registro Historico e Repercussoes""."
