score,token
0.192394,gromyko
0.0720378,risk
0.0718539,additional
0.0609741,brief
0.0369116,citizen
0.0345581,observe
0.0273071,unilateral
0.0268179,travel
0.0259723,disapprove
0.0258966,intention
0.0191724,pd
0.0108579,disruption
0.0108042,amend
0.00976758,lock
0.00926452,corruption
0.00922467,feature
0.00907058,eligible
0.00870685,maker
0.00777364,apparent
0.00753729,bray
0.00698288,photograph
0.00680711,applicant
0.00634757,adhere
0.0061314,neutralize
0.00575072,wife
0.00570388,enactment
0.00567489,birth
0.00557453,exit
0.00549775,carrot
0.00538542,unpredictable
0.00490354,immigration
0.00480312,register
0.0046672,depart
0.0042351,spouse
0.00402076,imprison
0.00379513,alternate
0.00376107,marry
0.00367893,residence
0.00364772,humiliation
0.00351804,evade
0.00344412,male
0.00343643,registration
0.00332943,dubious
0.00329023,assassinate
0.00318673,convict
0.00281047,morgan
0.00275959,rundown
0.00272642,outward
0.00271494,predictably
0.00265995,inferior
0.00260939,jurisdictional
0.00232128,apology
0.00228769,mary
0.00215616,intensively
0.00209212,afloat
0.00199055,condor
0.00198093,impossibility
0.00184497,inclusive
0.00179702,stonewall
0.00178924,acrimonious
0.00176839,regularly
0.00176079,roll
0.00168661,dante
0.00163254,tucker
0.00157461,expatriate
0.0014987,jasper
0.00147478,amplification
0.00144387,forthwith
0.00141383,lamb
0.00137233,counterbalance
0.00126497,preeminent
0.00110249,intemperate
0.00107611,makeup
0.00106505,worship
0.00104972,cline
0.00104063,philosopher
0.000960499,pointless
0.000958508,ineligible
0.000914289,connivance
0.000909913,resonance
0.000906273,nineteen
0.00089809,naturalization
0.000889493,actuality
0.000884265,chaff
0.000862305,hectic
0.000803973,mauritanian
0.000759779,pistol
0.000748174,subterfuge
0.000598806,racially
0.000575257,complication
0.000573842,demagogic
0.000535557,brandy
0.000522678,plaintively
0.00051112,warrior
0.000490152,commodore
0.000470984,obliquely
0.000470207,inaudible
0.00044708,guthrie
0.000421618,hut
0.000420896,emasculate
