score,token
0.231608,weapon
0.132282,sale
0.0788494,trip
0.0732367,direct
0.0278871,product
0.0270803,explosion
0.0267272,port
0.0266994,particular
0.0240225,grind
0.020479,intend
0.0140487,interference
0.0137418,governmental
0.0134444,munition
0.0134309,propaganda
0.0123389,examination
0.0116792,theme
0.0103385,bay
0.0102056,extension
0.009798,specify
0.00883065,advocate
0.00865945,commissioner
0.00772298,cargo
0.00768863,manufacture
0.0070732,mix
0.00497099,feasible
0.0048617,tow
0.00479925,conversely
0.00462502,characteristic
0.00440175,wei
0.00432915,subsequently
0.00419884,unlimited
0.0037809,kc
0.00316059,clearance
0.00302557,earmark
0.00273455,incumbent
0.00261804,custody
0.00222915,normally
0.00217959,machine
0.00179165,unjustified
0.00169509,airplane
0.00169384,privacy
0.00162491,precedence
0.00146542,await
0.00140673,redundant
0.00130797,authentic
0.00129628,snow
0.00122829,artistic
0.00115856,trustworthy
0.00112737,destination
0.00110389,temperature
0.00108747,matrix
0.00107389,ascertain
0.000934519,wine
0.000927267,yang
0.000905605,incur
0.000867181,paraphrase
0.000861024,momentary
0.000789749,musical
0.000692001,erroneously
0.000647989,concealment
0.000623771,unverifiable
0.000566036,retrieval
0.000548105,serial
0.000492906,singularly
0.000489464,jewel
0.000486821,skirt
0.000481881,projectile
0.000467873,styx
0.000435427,sterilization
0.000391622,unwillingness
0.000356713,interchangeably
0.000351781,acclaim
0.000351573,nonaggression
0.000351021,destructiveness
0.000336608,miniscule
0.000335946,inviolable
0.000327461,unman
0.000288091,equalization
0.000285656,encumbrance
0.000282976,chow
0.000275276,portland
0.000252202,unlikelihood
0.000245499,asymmetric
0.000241898,tungsten
0.000239604,napalm
0.000210092,vocation
0.000209458,carbide
0.000207789,propeller
0.000190827,densely
0.000162354,falcon
0.000161055,jasmine
0.000157751,lichee
0.000145012,untrustworthy
0.000136956,disorganization
0.000124896,acquaint
0.000123696,flair
0.000117832,silicon
0.00011026,disbelieve
0.000103555,hypnotize
9.80532e-05,maneuverable
