date,topic_score,id,collection,title
1978-01-15 00:00:00,0.386265,rm_1975.03.15_doc_4,CPDOC,"Documentos referentes ?politica internacional do petroleo no periodo em que Azeredo da Silveira atuava como ministro das Relacoes Exteriores. O dossie contem convite dos presidentes da Venezuela e do Equador, ao Brasil, para participar de uma reuni? preparatoria da Conferencia de Paris sobre a crise energetica mundial e sobre os resultados da ""Conferencia de los Soberanos y Jefes de Estado de los Paises Miembros de la OPEP"", ocorrida em Argel em 1975; informacoes sobre o aumento do preco do petroleo, em dezembro de 1976; dados sobre as politicas de importac? e exportac? desse produto, em diversos paises, em func? do aumento do preco; documentos sobre  medida venezuelana de congelamento e compensac? dos precos para a venda de petroleo no mercado latino-americano; e sobre o aumento das importacoes de petroleo do Kwait para o Brasil."
1979-06-15 00:00:00,0.3834,d_1974.04.23_doc_XXXVII-13,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1978-01-15 00:00:00,0.365274,rm_1975.03.15_doc_7,CPDOC,"Documentos referentes ?politica internacional do petroleo no periodo em que Azeredo da Silveira atuava como ministro das Relacoes Exteriores. O dossie contem convite dos presidentes da Venezuela e do Equador, ao Brasil, para participar de uma reuni? preparatoria da Conferencia de Paris sobre a crise energetica mundial e sobre os resultados da ""Conferencia de los Soberanos y Jefes de Estado de los Paises Miembros de la OPEP"", ocorrida em Argel em 1975; informacoes sobre o aumento do preco do petroleo, em dezembro de 1976; dados sobre as politicas de importac? e exportac? desse produto, em diversos paises, em func? do aumento do preco; documentos sobre  medida venezuelana de congelamento e compensac? dos precos para a venda de petroleo no mercado latino-americano; e sobre o aumento das importacoes de petroleo do Kwait para o Brasil."
1975-01-15 00:00:00,0.361019,ag_1974.01.22_doc_I-104,CPDOC,"Documentos referentes ? questoes burocr?icas e administrativas do Itamaraty durante a atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. O dossie e constituido, primordialmente, por correspondencia entre o titular e funcion?ios do Itamaraty. Tratam de viagens de trabalho, ferias, transferencia e remocoes; credenciamentos de funcion?ios no exterior; quadro de acesso; auxilio consular a brasileiros no exterior; construc? de moradia para os funcion?ios em Brasilia; orcamento para o Ministerio; criac? e suprimento de cargos nas embaixadas; conservac? do monumento brasileiro em Pistoia (It?ia);  e processos administrativos de funcion?ios. Inclui ainda avisos (correspondencia entre Ministros) contendo orientacoes do governo para o Ministerio das Relacoes Exteriores e para a administrac? publica em geral."
1978-08-23 00:00:00,0.35814,be_1976.00.00_doc_V-17,CPDOC,"Documentos referentes ? relacoes entre o presidente do Brasil, Ernesto Geisel, e o presidente dos Estados Unidos, Jimmy Carter, no periodo de atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. S? documentos previamente organizados (a maioria em xerox), que se caracterizam como subsidios para as conversacoes presidenciais e correspondencia, entre os dois presidentes, tratando de diversos assuntos entre os quais: candidaturas e eleic? de Jimmy Carter em 1976; visita de Jimmy Carter ao Brasil, Venezuela e outros paises da America Latina, em marco de 1978; relacoes bilaterais entre Brasil e Estados Unidos; e politica externa brasileira e politica externa norte-americana, no governo Carter."
1977-10-15 00:00:00,0.352997,ai_1974.04.02_doc_II-24,CPDOC,"Documentos referentes ?Organizac? dos Estados Americanos (OEA) no periodo de atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. Tratam: da Conferencia Interamericana de Chanceleres realizada em Washington, em abril de 1974, dando continuidade ao di?ogo iniciado na Conferencia de Tlatelolco (Mexico), em fevereiro de 1974, e onde se discutiu a estrutura do comercio internacional, o Canal do Panam?e a cooperac? para o desenvolvimento; da IV Assembleia Geral realizada em Atlanta, em abril de 1974, abordando a admiss? da Gr?Bretanha como observadora da OEA e a reforma do sistema interamericano; e da proposta feita ao Conselho Permanente por Costa Rica, Venezuela e Colombia, de convocac? de org? de consulta para analisar a suspens? das sancoes contra Cuba estabelecidas em 1964, contendo a posic? de diversos paises frente ?quest? e da sugest? brasileira de novo projeto (set-dez/1974). Inclui ainda documentos sobre a reforma do Tratado Interamericano de Assistencia Reciproca (TIAR); sobre a V Assembleia Geral em Washington, em maio de 1975, destacando-se a reforma do sistema interamericano, a lei de comercio exterior norte-americana e a eleic? do secret?io-geral; sobre a discuss? relativa ?direitos humanos na VII Assembleia Geral em junho de 1977; e sobre a proposta mexicana de novo estatuto para a Comiss? Interamericana de Direitos Humanos, que n? conta com o apoio do Brasil."
1976-06-15 00:00:00,0.352951,d_1974.03.26_doc_IV-35,CPDOC,"Documentos referentes aos despachos de Azeredo da Silveira como ministro das Relacoes Exteriores com o presidente da Republica Ernesto Geisel. O dossie e composto por documentos do tipo ""Informacoes ao Senhor Presidente da Republica"" abordando diversos asuntos, tais como: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas, viagens do presidente Geisel e de Azeredo da Silveira, assim como de outros chanceleres e presidentes ao Brasil."
1979-03-15 00:00:00,0.350707,ag_1974.03.15_doc_V-26,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
1979-03-15 00:00:00,0.346786,ag_1974.03.15_doc_II-22,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
1975-03-15 00:00:00,0.340518,be_1975.03.01_doc_19,CPDOC,"Documentos referentes ?visita do subsecret?io dos Estados Unidos para assuntos interamericanos William Rogers, ?America Latina, incluindo o Brasil, no periodo de atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. A visita, realizada em marco de 1975, teve car?er preparatorio ?visita do secret?io de Estado norte-americano Henry Kissenger ?America Latina, que estava prevista para abril de 1975, mas so aconteceu em 1976. Trata-se de correspondencia, em sua maioria telegramas, sobre a passagem de William Rogers pelo Brasil, Argentina, Uruguai e Chile; sobre programa e comitiva da visita; e ainda sobre relacoes dos Estados Unidos com America Latina, especialmente com Cuba, incluindo consideracoes sobre o discurso do secret?io de Estado, Henry Kissinger, em Houston, abordando, principalmente, o tema America Latina."
